,namespace,user_id,id
8105,monsenhorgoncalo,edu.lorena.de.sme,541452
8106,joaorosa,edu.karollyna.jorge.sme,541403
8107,iracemarufino,edu.lorena.de.sme,541453
8108,antaresjardins,adm.claudio,280855
8109,marialaura,edu.lorena.de.sme,541454
8110,luizgonzaga,edu.karollyna.jorge.sme,541404
8111,abiliomartins,edu.karollyna.jorge.sme,541405
8112,goncalomartins,edu.lorena.de.sme,541455
8113,antaresjardins,dioges.adm,280861
8114,mariaeunice,edu.lorena.de.sme,541456
8115,antaresjardins,edgardutra,378774
8116,antoniolima,edu.lorena.de.sme,541457
8117,conradochaves,edu.karollyna.jorge.sme,541406
8118,senhorbonfim,edu.lorena.de.sme,541458
8119,melquiadescamelo,edu.karollyna.jorge.sme,541407
8120,murilorocha,edu.lorena.de.sme,541459
8121,guilhermefilho,edu.karollyna.jorge.sme,541408
8122,eldapereira,edu.lorena.de.sme,541460
8123,criancaesperanca,edu.karollyna.jorge.sme,541409
8124,pedrocamelo,edu.karollyna.jorge.sme,541410
8125,joaorosa,edu.lorena.de.sme,541461
8126,joaosampaio,edu.karollyna.jorge.sme,541411
8127,mariaolinda,edu.karollyna.jorge.sme,541412
8128,abdiasmartins,edu.karollyna.jorge.sme,541413
8129,luizgonzaga,edu.lorena.de.sme,541462
8130,antoniairene,edu.karollyna.jorge.sme,541414
8131,nsfatima,edu.karollyna.jorge.sme,541415
8132,abiliomartins,edu.lorena.de.sme,541463
8133,franciscoperes,edu.karollyna.jorge.sme,541416
8134,conradochaves,edu.lorena.de.sme,541464
8135,melquiadescamelo,edu.lorena.de.sme,541465
8136,sas,asas,528216
8137,guilhermefilho,edu.lorena.de.sme,541466
8138,criancaesperanca,edu.lorena.de.sme,541467
8139,antaresjardins,enio.ney.adm,285076
8140,pedrocamelo,edu.lorena.de.sme,541468
8141,antaresjardins,adm.enio,283703
8142,joaosampaio,edu.lorena.de.sme,541469
8143,antaresjardins,fabio.soares,368136
8144,mariaolinda,edu.lorena.de.sme,541470
