,namespace,grade,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Porcentagem de visualização de relatórios de AA
151,arena,em 1a serie,0.0,0.0,0.0,0.0
152,atmo,em 1a serie,0.0,0.0,0.0,0.0
153,augustolaranja,em 1a serie,0.0,0.0,0.0,0.0
154,avaliacaoapogeu,ef 9o ano,0.0,0.0,0.0,0.0
155,avaliacaoapogeu,outro,0.0,0.0,0.0,0.0
156,bahema,em 1a serie,0.0,0.0,0.0,0.0
157,beityaacov,em 1a serie,0.0,0.0,0.0,0.0
158,beityaacov,em 3a serie,0.7368421052631579,2.0,95.0,0.2777777777777778
159,benjaminconstant,ef 1o ano,0.0,0.0,0.0,0.0
160,benjaminconstant,em 1a serie,0.0,0.0,0.0,0.0
161,bertelsmann,ef 5o ano,0.0,0.0,0.0,0.0
162,bertelsmann,em 1a serie,0.0,0.0,0.0,0.0
163,blueschooleducacional,em 1a serie,0.0,0.0,0.0,0.0
164,boaviagem,ef 3o ano,0.0,0.0,0.0,0.0
165,boaviagem,ef 7o ano,0.0,0.0,0.0,0.0
166,boaviagem,ef 9o ano,0.0,0.0,0.0,0.0
167,boaviagem,em 1a serie,0.0,0.0,0.0,0.0
168,boaviagem,em 2a serie,0.0,0.0,0.0,0.0
169,boaviagem,em 3a serie,0.0,0.0,0.0,0.0
170,borapassar,ef 3o ano,0.0,0.0,0.0,0.0
171,borapassar,ef 7o ano,0.0,0.0,0.0,0.0
172,borapassar,ef 9o ano,0.0,0.0,0.0,0.0
173,borapassar,em 1a serie,0.0,0.0,0.0,0.0
174,borapassar,em 2a serie,0.0,0.0,0.0,0.0
175,borapassar,em 3a serie,0.0,0.0,0.0,0.0
176,bosquemananciais,em 1a serie,0.0,0.0,0.0,0.0
177,brasilcursinhos,outro,0.5947315771923974,1.6666666666666667,148.33333333333334,0.4059633027522936
178,camerinocursos,outro,0.04,1.0,10.0,0.08
179,capacitacaoinspira,outro,0.0,0.0,0.0,0.0
180,casdinhosjc,ef 8o ano,0.7301587301587301,7.0,287.0,0.4603174603174603
181,casdinhosjc,ef 9o ano,0.688076633024726,2.0,172.0,0.4851116625310174
182,casdvest,ef 8o ano,0.0,0.0,0.0,0.0
183,casdvest,outro,0.0586150082380548,3.6666666666666665,129.66666666666666,0.0719726819017599
184,catamaravita,ef 3o ano,0.0,0.0,0.0,0.0
185,catamaravita,ef 7o ano,0.0,0.0,0.0,0.0
186,catamaravita,ef 9o ano,0.0,0.0,0.0,0.0
187,catamaravita,em 1a serie,0.0,0.0,0.0,0.0
188,catamaravita,em 2a serie,0.0,0.0,0.0,0.0
189,catamaravita,em 3a serie,0.0,0.0,0.0,0.0
190,catarinense,ef 1o ano,0.0,0.0,0.0,0.0
191,catarinense,em 1a serie,0.0,0.0,0.0,0.0
192,cats,outro,0.8138694638694639,3.0,195.0,0.4393939393939394
193,caur,ef 9o ano,0.0,0.0,0.0,0.0
194,caur,em 2a serie,0.0,0.0,0.0,0.0
195,caur,outro,0.0,0.0,0.0,0.0
196,cav,em 1a serie,0.0,0.0,0.0,0.0
197,cbpdigital,ef 2o ano,0.9677333333333332,8.0,150.0,0.6175
198,cbpdigital,ef 3o ano,0.9783333333333334,8.0,150.0,0.7864583333333334
199,cbpdigital,ef 4o ano,0.9001536098310292,11.0,166.5,0.7763713080168776
200,cbpdigital,ef 5o ano,0.8716814159292036,11.0,169.5,0.7821969696969697
201,cbpdigital,ef 6o ano,0.7880361930294906,9.5,194.0,0.741042345276873
202,cbpdigital,ef 7o ano,0.812866568914956,4.75,108.5,0.7359550561797753
203,cbpdigital,ef 8o ano,0.710174387504012,9.666666666666666,141.33333333333334,0.4891304347826087
204,cbpdigital,ef 9o ano,0.7558818885204485,6.5,132.0,0.5169971671388102
205,ceabb,ef 3o ano,0.1136363636363636,4.0,55.0,0.0208333333333333
206,ceabb,ef 4o ano,0.3333333333333333,1.0,10.0,0.4
207,ceabb,ef 5o ano,0.3636363636363636,1.0,10.0,0.1818181818181818
208,ceabb,ef 6o ano,0.1804152637485971,22.0,198.0,0.1321695760598503
209,ceabb,ef 7o ano,0.2164179104477611,24.0,201.0,0.1838235294117647
210,ceabb,ef 8o ano,0.1111111111111111,21.0,188.0,0.0317460317460317
211,ceabb,ef 9o ano,0.1270949720670391,20.0,179.0,0.0875
212,cecbdf,em 1a serie,0.0,0.5,201.0,0.0
213,cecbdf,em 2a serie,0.0,0.5,221.0,0.0
214,cecbdf,em 3a serie,0.0,0.5,241.0,0.0
215,ceespacolivre,ef 3o ano,0.0,0.0,0.0,0.0
216,ceespacolivre,ef 5o ano,0.8641975308641975,4.0,54.0,1.0
217,ceespacolivre,ef 6o ano,0.9472230745627492,4.666666666666667,93.0,0.7228464419475655
218,ceespacolivre,ef 7o ano,1.0,3.0,84.0,0.7323943661971831
219,ceespacolivre,ef 8o ano,0.9106910039113428,2.0,78.0,0.748587570621469
220,ceespacolivre,ef 9o ano,0.9930555555555556,3.0,64.0,0.4986072423398329
221,ceespacolivre,em 1a serie,1.0,10.0,115.0,0.3815789473684211
222,ceespacolivre,em 2a serie,1.0,5.75,71.5,0.5620689655172414
223,ceespacolivre,em 3a serie,0.0,0.0,0.0,0.0
224,cem,ef 2o ano,0.9316239316239316,9.0,72.0,0.6324786324786325
225,cem,ef 3o ano,0.90625,8.0,64.0,0.65625
226,cem,ef 4o ano,0.9772727272727272,9.0,77.0,0.7916666666666666
227,cem,ef 5o ano,0.9813457694870088,9.0,79.0,0.7719298245614035
228,cem,ef 6o ano,0.7617625093353249,16.0,103.0,0.7417840375586855
229,cem,ef 7o ano,0.94279176201373,16.0,92.0,0.8881578947368421
230,cem,ef 8o ano,0.9646511627906976,15.0,86.0,0.9333333333333332
231,cem,ef 9o ano,0.9345661450924608,19.0,111.0,0.8448753462603878
232,cem,em 1a serie,0.9230769230769232,23.0,136.0,0.7658862876254181
233,cem,em 2a serie,0.9546666666666668,21.0,125.0,0.8452380952380952
234,cem,em 3a serie,0.8304668304668305,19.0,111.0,0.6411483253588517
235,ceprimeiromundo,ef 1o ano,0.0,1.5,20.0,0.0
236,ceprimeiromundo,ef 2o ano,0.0,1.0,1.0,0.0
237,ceprimeiromundo,ef 3o ano,0.7967479674796748,2.333333333333333,26.666666666666668,0.2439024390243902
238,ceprimeiromundo,ef 4o ano,0.8105781057810578,1.6666666666666667,35.333333333333336,0.4796747967479675
239,ceprimeiromundo,ef 5o ano,1.0,0.6666666666666666,24.33333333333333,0.3333333333333333
240,ceprimeiromundo,ef 6o ano,0.3466757123473541,7.0,103.66666666666669,0.1390243902439024
241,ceprimeiromundo,ef 7o ano,0.4819205298013245,6.333333333333333,120.0,0.1730612244897959
242,ceprimeiromundo,ef 8o ano,0.4755163326591898,6.428571428571429,121.71428571428572,0.1846986089644513
243,ceprimeiromundo,ef 9o ano,0.4857957922263164,6.0,107.57142857142856,0.2043363994743758
244,ceprimeiromundo,em 1a serie,0.2855142253451919,10.4,249.6,0.1519134132199459
