,namespace,grade,Porcentagem de visualização de relatórios de AA
329,colegiobrasilia,em 3a serie,0.3726190476190476
330,colegiobrasilia,outro,0.0
331,colegiocb,ef 3o ano,0.6130434782608696
332,colegiocb,ef 4o ano,0.19491525423728814
333,colegiocb,ef 5o ano,0.17261904761904762
334,colegiocb,ef 6o ano,0.7755331088664422
335,colegiocb,ef 7o ano,0.6633663366336634
336,colegiocb,ef 8o ano,0.741304347826087
337,colegiocb,ef 9o ano,0.7429577464788732
338,colegiocb,em 1a serie,0.5533498759305211
339,colegiocb,em 2a serie,0.6292906178489702
340,colegiocb,em 3a serie,0.5433526011560693
341,colegiocognos,em 1a serie,0.0
342,colegiodasamericas,ef 3o ano,0.6666666666666666
343,colegiodasamericas,ef 4o ano,0.8181818181818182
344,colegiodasamericas,ef 6o ano,0.9342560553633218
345,colegiodasamericas,ef 7o ano,0.946236559139785
346,colegiodasamericas,ef 8o ano,0.848297213622291
347,colegiodasamericas,ef 9o ano,0.8574938574938575
348,colegiodasamericas,em 1a serie,0.8076109936575053
349,colegiodasamericas,em 2a serie,0.7865612648221344
350,colegiodasamericas,em 3a serie,0.7995735607675906
351,colegiodasamericas,outro,0.8678571428571429
352,colegiodelta,ef 6o ano,0.0
353,colegiodosjesuitas,em 1a serie,0.0
354,colegioeag,ef 1o ano,0.7046979865771812
355,colegioeag,ef 3o ano,0.35714285714285715
356,colegioeag,ef 4o ano,0.5714285714285714
357,colegioeag,ef 5o ano,0.4431818181818182
358,colegioeag,outro,0.0
359,colegioeccos,em 1a serie,0.0
360,colegioecursodesafio,ef 1o ano,0.09126984126984126
361,colegioecursodesafio,ef 2o ano,0.15503875968992248
362,colegioecursodesafio,ef 3o ano,0.44936708860759494
363,colegioecursodesafio,ef 4o ano,0.35064935064935066
364,colegioecursodesafio,ef 5o ano,0.34331337325349304
365,colegioecursodesafio,ef 6o ano,0.3814207650273224
366,colegioecursodesafio,ef 7o ano,0.413516609392898
367,colegioecursodesafio,ef 8o ano,0.4020979020979021
368,colegioecursodesafio,ef 9o ano,0.3686440677966102
369,colegioecursodesafio,em 1a serie,0.15262515262515264
370,colegioecursodesafio,em 2a serie,0.13544303797468354
371,colegioecursodesafio,em 3a serie,0.0888671875
372,colegioecursoprogressao,ef 1o ano,0.0
373,colegioecursoprogressao,ef 6o ano,0.814404432132964
374,colegioecursoprogressao,ef 7o ano,0.8451776649746193
375,colegioecursoprogressao,ef 8o ano,0.8278443113772455
376,colegioecursoprogressao,ef 9o ano,0.7951219512195122
377,colegioecursoprogressao,em 1a serie,0.6979267116682739
378,colegioecursoprogressao,em 2a serie,0.5266085387853278
379,colegioecursoprogressao,em 3a serie,0.5007796257796258
380,colegioeducallis,ef 2o ano,0.3888888888888889
381,colegioeducallis,ef 3o ano,0.25925925925925924
382,colegioeducallis,ef 4o ano,0.39147286821705424
383,colegioeducallis,ef 5o ano,0.4351851851851852
384,colegioeducallis,ef 6o ano,0.33579335793357934
385,colegioeducallis,ef 7o ano,0.38543689320388347
386,colegioeducallis,ef 8o ano,0.4078014184397163
387,colegioeducallis,ef 9o ano,0.4565677966101695
388,colegioeducallis,em 1a serie,0.6471354166666666
389,colegioeducallis,em 2a serie,0.5614814814814815
