,namespace,grade,numero_ex
326,colegioglobal,ef 9o ano,49.333333333333336
327,colegioglobal,em 1a serie,222.0
328,colegioglobal,em 2a serie,246.0
329,colegioglobal,em 3a serie,240.0
330,colegioguilhermedealmeida,ef 6o ano,36.0
331,colegioguilhermedealmeida,ef 7o ano,56.0
332,colegioguilhermedealmeida,ef 8o ano,29.666666666666668
333,colegioguilhermedealmeida,ef 9o ano,26.0
334,colegioguilhermedealmeida,em 1a serie,20.0
335,colegioguilhermedealmeida,em 2a serie,24.0
336,colegioguilhermedealmeida,em 3a serie,20.0
337,colegioiguatemy,ef 3o ano,103.0
338,colegioiguatemy,ef 4o ano,73.0
339,colegioiguatemy,ef 5o ano,75.0
340,colegioiguatemy,ef 6o ano,136.0
341,colegioiguatemy,ef 7o ano,126.0
342,colegioiguatemy,ef 8o ano,145.0
343,colegioiguatemy,ef 9o ano,142.0
344,colegioiguatemy,em 1a serie,129.33333333333334
345,colegioiguatemy,em 2a serie,132.0
346,colegioiguatemy,em 3a serie,128.0
347,colegiointegral,ef 2o ano,104.0
348,colegiointegral,ef 3o ano,108.0
349,colegiointegral,ef 4o ano,124.0
350,colegiointegral,ef 5o ano,98.0
351,colegiointegral,ef 6o ano,206.0
352,colegiointegral,ef 7o ano,166.8
353,colegiointegral,ef 8o ano,125.66666666666667
354,colegiointegral,ef 9o ano,69.55555555555556
355,colegiointegral,em 1a serie,117.44444444444444
356,colegiointegral,em 2a serie,117.44444444444444
357,colegiointegral,em 3a serie,256.3333333333333
358,colegiointegral,outro,56.0625
359,colegiojoaopaulo,ef 4o ano,81.0
360,colegiojoaopaulo,ef 5o ano,179.0
361,colegiojoaopaulo,ef 6o ano,167.0
362,colegiojoaopaulo,ef 7o ano,215.33333333333334
363,colegiojoaopaulo,ef 8o ano,226.0
364,colegiojoaopaulo,ef 9o ano,102.33333333333333
365,colegiojoaopaulo,em 1a serie,445.2
366,colegiojoaopaulo,em 2a serie,368.4
367,colegiojoaopaulo,em 3a serie,429.25
368,colegiojoaopaulo,outro,20.0
369,colegioliceu,em 1a serie,201.0
370,colegioliceu,em 2a serie,221.0
371,colegioliceu,em 3a serie,241.0
372,colegiomagnum,em 1a serie,186.0
373,colegiomagnum,em 2a serie,186.0
374,colegiomagnum,em 3a serie,276.0
375,colegiomundial,ef 6o ano,44.0
376,colegiomundial,ef 9o ano,52.0
377,colegiomundial,em 1a serie,52.0
378,colegiomundial,em 2a serie,78.0
379,colegiomundial,em 3a serie,78.0
380,colegionobre,ef 6o ano,1.0
381,colegionovageracao,ef 2o ano,10.0
382,colegionovageracao,ef 3o ano,10.0
383,colegionovageracao,ef 4o ano,20.0
384,colegionovageracao,ef 5o ano,30.0
385,colegioplanck,ef 6o ano,41.75
386,colegioplanck,ef 7o ano,41.857142857142854
387,colegioplanck,ef 8o ano,38.25
388,colegioplanck,ef 9o ano,39.23076923076923
389,colegioplanck,em 1a serie,49.666666666666664
390,colegioplanck,em 2a serie,67.11111111111111
391,colegioplanck,em 3a serie,55.0
392,colegioplanck,outro,50.0
393,colegiopremium,ef 1o ano,72.0
394,colegiopremium,ef 2o ano,72.0
395,colegiopremium,ef 3o ano,72.0
396,colegiopremium,ef 4o ano,73.0
397,colegiopremium,ef 5o ano,73.0
398,colegiopremium,ef 6o ano,162.0
399,colegiopremium,ef 7o ano,192.0
400,colegiopremium,ef 8o ano,87.66666666666667
401,colegiopremium,ef 9o ano,124.33333333333333
402,colegiopremium,em 1a serie,186.5
403,colegiopremium,em 2a serie,151.0
404,colegiopremium,em 3a serie,323.0
405,colegioser,outro,30.0
406,colegiosete,ef 1o ano,60.5
407,colegiosete,ef 2o ano,60.0
408,colegiosete,ef 3o ano,113.5
409,colegiosete,ef 4o ano,65.0
410,colegiosete,ef 5o ano,120.4
411,colegiosete,ef 6o ano,230.0
412,colegiosete,ef 7o ano,220.0
413,colegiosete,ef 8o ano,218.0
414,colegiosete,ef 9o ano,217.0
415,colegiosete,em 1a serie,400.0
416,colegiosete,em 2a serie,400.0
417,colegiosete,em 3a serie,400.0
418,colegiouirapuru,ef 3o ano,30.0
419,colegiouirapuru,ef 4o ano,70.0
420,colegiouirapuru,ef 5o ano,63.714285714285715
421,colegiouirapuru,ef 6o ano,57.0
422,colegiouirapuru,ef 7o ano,55.0
423,colegiouirapuru,ef 8o ano,37.833333333333336
424,colegiouirapuru,ef 9o ano,19.25
425,colegiouirapuru,em 1a serie,22.8
426,colegiouirapuru,em 2a serie,33.333333333333336
427,colegiouirapuru,em 3a serie,41.5
428,colegiouniverso,ef 6o ano,196.0
429,colegiouniverso,ef 7o ano,196.0
430,colegiouniverso,ef 8o ano,196.0
431,colegiouniverso,ef 9o ano,211.0
432,colegiouniverso,em 1a serie,509.0
433,colegiouniverso,em 2a serie,510.0
434,colegiouniverso,em 3a serie,553.0
435,colegiouniverso,outro,7.0
436,colegioup,ef 6o ano,114.33333333333333
437,colegioup,ef 7o ano,121.33333333333333
438,colegioup,ef 8o ano,114.66666666666667
439,colegioup,ef 9o ano,136.5
440,colegioup,em 1a serie,236.66666666666666
441,colegioup,em 2a serie,221.66666666666666
