,namespace,grade,Porcentagem de engajamento em AAs
789,overmarciliofurtado,em 3a serie,0.8631677600749765
527,crescercampinas,em 1a serie,0.862860151959678
685,maplebearslz,ef 8o ano,0.862735542560104
2,acessoalmirantetamandare,ef 4o ano,0.8620689655172413
705,master,ef 7o ano,0.8592576959025537
968,prismapatrocinio,em 2a serie,0.8582829301075269
195,cnslpb,ef 7o ano,0.8582089552238806
986,provaspoliedro,ef 1o ano,0.8571428571428571
223,colegiobatistaindependente,ef 6o ano,0.8569023569023569
704,master,ef 6o ano,0.8566122568663864
437,colegiopremium,em 1a serie,0.8557344725599737
27,acessocampolargokids,ef 2o ano,0.8541666666666666
332,colegioensitec,ef 9o ano,0.8537234042553191
561,eccos,ef 7o ano,0.8531038721573448
745,objetivolorena,em 1a serie,0.8512575075075075
650,invictus,em 1a serie,0.851031321619557
194,cnslpb,ef 6o ano,0.8474128827877508
17,acessoboqueirao,em 3a serie,0.8469434455704479
563,eccos,ef 9o ano,0.8459937565036421
781,overlimaesilva,ef 5o ano,0.8449438202247191
306,colegioecursoprogressao,ef 6o ano,0.8444924406047516
656,isem,ef 4o ano,0.8436213991769548
196,cnslpb,ef 8o ano,0.8429602888086642
182,ceprimeiromundo,em 3a serie,0.8427128427128427
974,progressaodc,em 1a serie,0.8399375975039002
651,invictus,em 2a serie,0.8396971691902567
966,prismapatrocinio,ef 9o ano,0.8393596686842943
225,colegiobatistaindependente,ef 8o ano,0.8384584664536742
226,colegiobatistaindependente,ef 9o ano,0.834319526627219
612,idaam,em 3a serie,0.8334895052473763
57,acessosantafelicidade,ef 4o ano,0.8333333333333334
646,invictus,ef 6o ano,0.8328373015873016
387,colegiointegral,em 3a serie,0.8325492831541219
343,colegiofuturageracao,ef 6o ano,0.8315649867374005
169,cem,em 3a serie,0.8304668304668305
762,overabelcabral,ef 5o ano,0.8291215403128761
86,aescobjetivo,ef 4o ano,0.8289686388619464
912,pioxi,ef 5o ano,0.8287581699346406
746,objetivolorena,em 2a serie,0.8285238623751388
1014,saberviver,ef 4o ano,0.8272727272727273
964,prismapatrocinio,ef 7o ano,0.8254229323308271
575,einsteinassis,ef 6o ano,0.8248772504091653
260,colegiobrasilia,em 1a serie,0.823850033110896
56,acessosantafelicidade,ef 3o ano,0.8228438228438228
272,colegiocb,em 1a serie,0.8186673448626653
29,acessocampolargokids,ef 4o ano,0.8183333333333334
1098,universitariolondrina,ef 6o ano,0.8171456287134715
829,overzonanorte,em 3a serie,0.8141199226305609
132,cats,outro,0.8138694638694639
139,cbpdigital,ef 7o ano,0.812866568914956
174,ceprimeiromundo,ef 4o ano,0.8105781057810578
337,colegioflamingo,em 2a serie,0.8104566333423399
283,colegiodasamericas,em 1a serie,0.8092307692307692
229,colegiobatistaindependente,em 3a serie,0.8057225294541958
336,colegioflamingo,em 1a serie,0.8020833333333334
338,colegioflamingo,em 3a serie,0.8013357619914997
11,acessoalmirantetamandare,outro,0.8
408,colegiomundial,ef 9o ano,0.8
331,colegioensitec,ef 8o ano,0.7986501687289089
173,ceprimeiromundo,ef 3o ano,0.7967479674796748
555,eacorcovado,em 3a serie,0.7963709677419355
686,maplebearslz,ef 9o ano,0.7960414059833921
259,colegiobrasilia,ef 9o ano,0.7930331350892098
576,einsteinassis,ef 7o ano,0.792368125701459
988,provaspoliedro,ef 7o ano,0.7919372900335946
931,plannetataboao,ef 5o ano,0.7908443681732799
960,prismapatrocinio,ef 2o ano,0.7905224259111658
138,cbpdigital,ef 6o ano,0.7880361930294906
989,provaspoliedro,ef 8o ano,0.787288569964121
965,prismapatrocinio,ef 8o ano,0.7867573340307746
329,colegioensitec,ef 6o ano,0.7857142857142857
344,colegiofuturageracao,ef 7o ano,0.7845679012345679
660,isem,ef 8o ano,0.7827041264266901
61,acessosantafelicidade,ef 8o ano,0.7808058138292188
816,overpontanegra,em 3a serie,0.7781874039938556
675,magister,ef 4o ano,0.776275115919629
345,colegiofuturageracao,ef 8o ano,0.7716666666666666
198,cnslpb,em 1a serie,0.7707713125845738
1124,villalobos,em 1a serie,0.7688599348534202
451,colegiosete,ef 5o ano,0.7678108162043504
484,colegioup,em 2a serie,0.7667971863196923
869,physicsbatistacampos,ef 7o ano,0.7645714285714286
43,acessofazendariogrande,outro,0.7644710578842315
951,porto,ef 9o ano,0.7632607956477389
163,cem,ef 6o ano,0.7617625093353249
333,colegioensitec,em 1a serie,0.761211415259173
1099,universitariolondrina,ef 7o ano,0.7607317660274412
83,aescobjetivo,ef 1o ano,0.7604832977967306
766,overabelcabral,ef 9o ano,0.760079139913394
521,crb,outro,0.76
890,physicsmacapa,ef 9o ano,0.7598793363499246
967,prismapatrocinio,em 1a serie,0.757255307306989
578,einsteinassis,ef 9o ano,0.7565406976744186
141,cbpdigital,ef 9o ano,0.7558818885204485
661,isem,ef 9o ano,0.7554666666666666
42,acessofazendariogrande,em 3a serie,0.7542607093505297
706,master,ef 8o ano,0.7533568489124045
60,acessosantafelicidade,ef 7o ano,0.7509571388551686
424,colegioplanck,em 1a serie,0.7502739726027398
334,colegioensitec,em 2a serie,0.7497454175152749
953,porto,em 2a serie,0.7495931891611443
930,plannetataboao,ef 4o ano,0.7472729848420456
987,provaspoliedro,ef 6o ano,0.7449306296691569
649,invictus,ef 9o ano,0.7443794271635356
45,acessohauer,ef 2o ano,0.7442129629629629
100,amadeus,ef 5o ano,0.7435897435897436
1121,villalobos,ef 7o ano,0.7416775153431281
647,invictus,ef 7o ano,0.7416595380667237
450,colegiosete,ef 4o ano,0.7395209580838323
411,colegiomundial,em 3a serie,0.7391304347826086
436,colegiopremium,ef 9o ano,0.7379857918930213
122,beityaacov,em 3a serie,0.7368421052631579
491,conexaosaber,ef 5o ano,0.7365204888569374
197,cnslpb,ef 9o ano,0.7363756364322082
763,overabelcabral,ef 6o ano,0.7345571213905698
952,porto,em 1a serie,0.7341972047168558
330,colegioensitec,ef 7o ano,0.7331815882650481
698,mariliamattoso,em 3a serie,0.732559064513563
1100,universitariolondrina,ef 8o ano,0.7312708458051825
128,casdinhosjc,ef 8o ano,0.7301587301587301
350,colegioglobal,ef 4o ano,0.7292707292707292
950,porto,ef 8o ano,0.7287790697674419
1031,santoamerico,ef 9o ano,0.7274706138441446
870,physicsbatistacampos,ef 8o ano,0.7274633123689728
278,colegiodasamericas,ef 4o ano,0.7272727272727273
1030,santoamerico,ef 8o ano,0.7263681592039801
990,provaspoliedro,ef 9o ano,0.7245758073344281
606,faculdadeflamingo,outro,0.7226107226107226
85,aescobjetivo,ef 3o ano,0.7219047619047619
681,maplebearslz,ef 4o ano,0.7208551835417507
808,overpontanegra,ef 4o ano,0.7207207207207207
423,colegioplanck,ef 9o ano,0.71875
929,plannetataboao,ef 3o ano,0.7180509674374705
585,elitecuritibaemilianoperneta,em 3a serie,0.7179480088495576
560,eccos,ef 6o ano,0.7167689161554193
84,aescobjetivo,ef 2o ano,0.7163892445582587
567,educandarioterciocorreia,ef 4o ano,0.716
659,isem,ef 7o ano,0.7140134671579215
3,acessoalmirantetamandare,ef 5o ano,0.7137508509189925
38,acessofazendariogrande,ef 8o ano,0.7121509064184224
140,cbpdigital,ef 8o ano,0.710174387504012
288,colegioeag,ef 1o ano,0.7046979865771812
927,plannetataboao,ef 1o ano,0.7035766780989711
928,plannetataboao,ef 2o ano,0.7028566094100075
559,eccos,ef 5o ano,0.7027804410354745
963,prismapatrocinio,ef 6o ano,0.7016819571865444
676,magister,ef 5o ano,0.7015250544662309
982,progressaoig,em 2a serie,0.7014925373134329
800,overmossoro,em 3a serie,0.7012987012987013
6,acessoalmirantetamandare,ef 8o ano,0.699812382739212
562,eccos,ef 8o ano,0.6970702045328911
674,magister,ef 3o ano,0.6945690084703537
658,isem,ef 6o ano,0.6935400516795865
98,amadeus,ef 3o ano,0.6933333333333334
662,itamarati,ef 8o ano,0.6933333333333334
954,porto,em 3a serie,0.6916063638026072
187,ciadosaber,ef 4o ano,0.6910016977928692
580,einsteinassis,em 2a serie,0.6906130268199234
290,colegioeag,ef 4o ano,0.6904761904761905
692,mariliamattoso,ef 6o ano,0.690404429803042
87,aescobjetivo,ef 5o ano,0.6895877754086709
449,colegiosete,ef 3o ano,0.6883280757097792
694,mariliamattoso,ef 8o ano,0.6883188273018781
129,casdinhosjc,ef 9o ano,0.688076633024726
19,acessocampolargo,ef 6o ano,0.6880407124681934
849,physicsalmirantebarroso,em 2a serie,0.6870756980246031
648,invictus,ef 8o ano,0.6856827383143173
35,acessofazendariogrande,ef 5o ano,0.6843657817109144
693,mariliamattoso,ef 7o ano,0.6836260151315333
699,master,ef 1o ano,0.6818181818181818
819,overzonanorte,ef 2o ano,0.6805555555555556
58,acessosantafelicidade,ef 5o ano,0.6787190082644629
837,physicsalcindocacela,em 2a serie,0.6782977006857603
961,prismapatrocinio,ef 4o ano,0.678125
969,prismapatrocinio,em 3a serie,0.676405021705972
425,colegioplanck,em 2a serie,0.6762940735183796
688,maplebearslz,em 2a serie,0.6742263671047054
548,domus,em 3a serie,0.6731884057971015
217,colegioarena,em 1a serie,0.6706192358366272
1101,universitariolondrina,ef 9o ano,0.6704038456002993
90,aescobjetivo,ef 8o ano,0.6696975235310244
50,acessohauer,ef 7o ano,0.6693894220951603
891,physicsmacapa,em 1a serie,0.6674912389198103
301,colegioecursodesafio,em 1a serie,0.6672771672771672
558,eccos,ef 4o ano,0.6666666666666666
677,magister,outro,0.6666666666666666
1119,villalobos,ef 5o ano,0.6666666666666666
26,acessocampolargo,outro,0.6646706586826348
625,institutoeurofarma,outro,0.6616915422885572
439,colegiopremium,em 3a serie,0.6612118531623176
695,mariliamattoso,ef 9o ano,0.6601577909270216
702,master,ef 4o ano,0.6576136710405859
99,amadeus,ef 4o ano,0.6574440052700923
744,objetivolorena,ef 9o ano,0.6569134207125715
