,namespace,grade,Número de AAs por turma
369,colegioliceu,em 1a serie,1.5
370,colegioliceu,em 2a serie,1.5
371,colegioliceu,em 3a serie,1.5
372,colegiomagnum,em 1a serie,0.5
373,colegiomagnum,em 2a serie,0.5
374,colegiomagnum,em 3a serie,1.2
375,colegiomundial,ef 6o ano,1.0
376,colegiomundial,ef 9o ano,1.0
377,colegiomundial,em 1a serie,1.0
378,colegiomundial,em 2a serie,1.0
379,colegiomundial,em 3a serie,1.0
380,colegionobre,ef 6o ano,1.0
381,colegionovageracao,ef 2o ano,1.0
382,colegionovageracao,ef 3o ano,1.0
383,colegionovageracao,ef 4o ano,1.0
384,colegionovageracao,ef 5o ano,1.0
385,colegioplanck,ef 6o ano,2.25
386,colegioplanck,ef 7o ano,2.4285714285714284
387,colegioplanck,ef 8o ano,3.375
388,colegioplanck,ef 9o ano,2.3076923076923075
389,colegioplanck,em 1a serie,2.0
390,colegioplanck,em 2a serie,1.7777777777777777
391,colegioplanck,em 3a serie,1.7142857142857142
392,colegioplanck,outro,3.0
393,colegiopremium,ef 1o ano,7.0
394,colegiopremium,ef 2o ano,7.0
395,colegiopremium,ef 3o ano,7.0
396,colegiopremium,ef 4o ano,8.0
397,colegiopremium,ef 5o ano,8.0
398,colegiopremium,ef 6o ano,7.0
399,colegiopremium,ef 7o ano,8.0
400,colegiopremium,ef 8o ano,4.0
401,colegiopremium,ef 9o ano,4.333333333333333
402,colegiopremium,em 1a serie,5.0
403,colegiopremium,em 2a serie,4.0
404,colegiopremium,em 3a serie,9.0
405,colegioser,outro,1.0
406,colegiosete,ef 1o ano,6.5
407,colegiosete,ef 2o ano,3.6666666666666665
408,colegiosete,ef 3o ano,11.5
409,colegiosete,ef 4o ano,6.0
410,colegiosete,ef 5o ano,7.8
411,colegiosete,ef 6o ano,11.0
412,colegiosete,ef 7o ano,7.0
413,colegiosete,ef 8o ano,10.5
414,colegiosete,ef 9o ano,10.5
415,colegiosete,em 1a serie,16.5
416,colegiosete,em 2a serie,16.5
417,colegiosete,em 3a serie,16.5
418,colegiouirapuru,ef 3o ano,5.25
419,colegiouirapuru,ef 4o ano,6.6
420,colegiouirapuru,ef 5o ano,5.428571428571429
421,colegiouirapuru,ef 6o ano,5.0
422,colegiouirapuru,ef 7o ano,3.6
423,colegiouirapuru,ef 8o ano,3.3333333333333335
424,colegiouirapuru,ef 9o ano,2.5
425,colegiouirapuru,em 1a serie,0.8
426,colegiouirapuru,em 2a serie,1.0
427,colegiouirapuru,em 3a serie,2.0
428,colegiouniverso,ef 6o ano,8.0
429,colegiouniverso,ef 7o ano,8.0
430,colegiouniverso,ef 8o ano,8.0
431,colegiouniverso,ef 9o ano,5.0
432,colegiouniverso,em 1a serie,12.0
433,colegiouniverso,em 2a serie,6.5
434,colegiouniverso,em 3a serie,10.0
435,colegiouniverso,outro,1.0
436,colegioup,ef 6o ano,11.0
437,colegioup,ef 7o ano,12.0
438,colegioup,ef 8o ano,11.333333333333334
439,colegioup,ef 9o ano,12.25
440,colegioup,em 1a serie,11.0
441,colegioup,em 2a serie,10.166666666666666
442,colegioup,em 3a serie,23.333333333333332
443,conexaosaber,ef 1o ano,8.5
444,conexaosaber,ef 2o ano,10.5
445,conexaosaber,ef 3o ano,24.0
446,conexaosaber,ef 4o ano,5.0
447,conexaosaber,ef 5o ano,13.0
448,conexaosaber,ef 6o ano,12.0
449,conexaosaber,ef 7o ano,14.0
450,conexaosaber,ef 8o ano,15.0
451,conexaosaber,ef 9o ano,18.0
452,contemporaneo,em 3a serie,3.0
453,contemporaneocidadeverde,ef 3o ano,1.0
454,contemporaneocidadeverde,ef 5o ano,6.0
455,contemporaneocidadeverde,ef 6o ano,8.0
456,contemporaneocidadeverde,ef 7o ano,8.5
457,contemporaneocidadeverde,ef 8o ano,6.333333333333333
458,contemporaneocidadeverde,ef 9o ano,12.0
459,contemporaneocidadeverde,em 1a serie,18.0
460,contemporaneocidadeverde,em 2a serie,9.0
461,contemporaneocidadeverde,em 3a serie,16.0
462,contemporaneolagoanova,ef 6o ano,5.333333333333333
463,contemporaneolagoanova,ef 7o ano,4.0
464,contemporaneolagoanova,ef 8o ano,5.5
465,contemporaneolagoanova,ef 9o ano,5.666666666666667
466,contemporaneolagoanova,em 1a serie,11.0
467,contemporaneolagoanova,em 2a serie,9.0
468,contemporaneolagoanova,em 3a serie,8.0
469,crb,ef 6o ano,11.833333333333334
470,crb,ef 7o ano,8.333333333333334
471,crb,ef 8o ano,8.777777777777779
472,crb,ef 9o ano,8.818181818181818
473,crb,em 1a serie,12.8
474,crb,em 2a serie,9.0
475,crb,em 3a serie,10.428571428571429
476,crb,outro,0.875
477,crescercampinas,ef 6o ano,3.8333333333333335
478,crescercampinas,ef 7o ano,4.6
479,crescercampinas,ef 8o ano,5.0
480,crescercampinas,ef 9o ano,3.5
481,crescercampinas,em 1a serie,11.25
482,crescercampinas,em 2a serie,24.5
483,crescercampinas,em 3a serie,25.5
484,cursoenfase,outro,1.2
485,cursoisfera,outro,6.428571428571429
486,cursoleopoldo,em 3a serie,0.6666666666666666
487,cursoleopoldo,outro,1.0
488,cursosazambuja,outro,0.5686274509803921
489,dante,em 3a serie,0.3333333333333333
490,deltaeducacional,em 1a serie,3.0
491,deltaeducacional,em 2a serie,6.0
492,deltaeducacional,em 3a serie,5.0
493,dommga,em 3a serie,2.0
494,domus,em 1a serie,3.0
495,domus,em 2a serie,3.0
496,domus,em 3a serie,3.0
497,eacorcovado,ef 5o ano,0.2
498,eacorcovado,ef 8o ano,0.75
499,eacorcovado,ef 9o ano,1.0
500,eacorcovado,em 1a serie,2.3333333333333335
501,eacorcovado,em 2a serie,4.5
502,eacorcovado,em 3a serie,2.0
503,eccos,ef 3o ano,2.5
504,eccos,ef 4o ano,1.0
505,eccos,ef 5o ano,3.5
506,eccos,ef 6o ano,1.75
507,eccos,ef 7o ano,3.5
508,eccos,ef 8o ano,6.5
509,eccos,ef 9o ano,4.0
510,educamais,ef 6o ano,1.0
511,educamais,ef 8o ano,1.0
512,educandarioterciocorreia,ef 3o ano,11.0
513,educandarioterciocorreia,ef 4o ano,13.0
514,educandarioterciocorreia,ef 5o ano,11.0
515,educandarioterciocorreia,ef 6o ano,18.0
516,educandarioterciocorreia,ef 7o ano,18.0
517,educandarioterciocorreia,ef 8o ano,24.0
518,educandarioterciocorreia,ef 9o ano,20.0
519,educarse,outro,5.0
520,einsteinassis,ef 6o ano,18.0
521,einsteinassis,ef 7o ano,17.0
522,einsteinassis,ef 8o ano,15.0
523,einsteinassis,ef 9o ano,15.0
524,einsteinassis,em 1a serie,11.0
525,einsteinassis,em 2a serie,10.0
526,einsteinassis,em 3a serie,11.0
527,elitecuritiba,outro,0.125
528,elitecuritibaemilianoperneta,em 1a serie,29.0
529,elitecuritibaemilianoperneta,em 2a serie,28.0
530,elitecuritibaemilianoperneta,em 3a serie,7.0
531,elitecuritibaemilianoperneta,outro,12.0
532,eluneonline,em 1a serie,1.0
533,escola,ef 4o ano,1.0
534,escolaceciliameireles,ef 2o ano,5.0
535,escolaceciliameireles,ef 3o ano,1.0
536,escolaceciliameireles,ef 4o ano,13.0
537,escolaceciliameireles,ef 5o ano,12.0
538,escolaceciliameireles,ef 6o ano,13.0
539,escolamaster,ef 8o ano,0.2
540,escolamaster,ef 9o ano,0.25
541,escolamaster,em 1a serie,2.3333333333333335
542,escolamaster,em 2a serie,3.0
543,escolamaster,em 3a serie,1.6666666666666667
544,estantemagica,outro,1.0
545,faculdadeflamingo,outro,6.0
546,francobrasileiro,em 3a serie,2.6666666666666665
547,gerabixo,outro,2.0
548,idaam,em 3a serie,0.75
549,implantacao,outro,3.0
550,insa,em 1a serie,2.0
551,insa,em 2a serie,2.0
552,insa,em 3a serie,2.0
553,institutoauxiliadoradf,em 1a serie,3.0
554,institutoauxiliadoradf,em 2a serie,3.0
555,institutoauxiliadoradf,em 3a serie,3.0
556,institutocristao,ef 6o ano,25.0
557,institutocristao,ef 7o ano,17.0
558,institutocristao,ef 9o ano,13.0
559,institutocristao,em 2a serie,14.0
560,institutocristao,em 3a serie,11.0
561,institutoeurofarma,outro,0.2
562,institutosaojose,em 1a serie,1.5
563,institutosaojose,em 2a serie,1.0
564,institutosaojose,em 3a serie,1.5
565,integra,ef 1o ano,4.0
566,integra,ef 2o ano,4.0
567,integra,ef 3o ano,4.0
568,integra,ef 4o ano,4.0
569,integra,ef 5o ano,4.0
570,integra,ef 6o ano,7.0
571,integra,ef 7o ano,7.0
572,integra,ef 8o ano,7.0
573,integradaeducativa,ef 6o ano,3.0714285714285716
574,integradaeducativa,ef 7o ano,2.6875
575,integradaeducativa,ef 8o ano,3.1333333333333333
576,integradaeducativa,ef 9o ano,3.2
577,integradaeducativa,em 1a serie,2.1875
578,integradaeducativa,em 2a serie,2.176470588235294
579,integradaeducativa,em 3a serie,2.125
580,invictus,ef 6o ano,11.0
581,invictus,ef 7o ano,15.0
582,invictus,ef 8o ano,18.0
583,invictus,ef 9o ano,15.0
584,invictus,em 1a serie,18.0
585,invictus,em 2a serie,18.0
586,invictus,em 3a serie,19.0
587,invictus,outro,3.0
588,iracemarufino,infantil iii,1.0
589,isem,ef 3o ano,1.25
590,isem,ef 4o ano,2.0
591,isem,ef 5o ano,1.25
592,isem,ef 6o ano,22.5
593,isem,ef 7o ano,16.333333333333332
594,isem,ef 8o ano,24.0
595,isem,ef 9o ano,25.0
596,itamarati,ef 8o ano,2.0
597,jazzvestibular,outro,0.5
598,joaobelem,ef 6o ano,1.0
599,joaobelem,ef 9o ano,1.0
600,lasalleaguasclaras,em 1a serie,0.75
601,lasalleaguasclaras,em 2a serie,1.0
602,lasalleaguasclaras,em 3a serie,0.75
603,liessinbarra,ef 8o ano,1.0
604,litteratus,em 3a serie,1.0
605,macvest,outro,3.0
606,magister,ef 3o ano,3.3333333333333335
607,magister,ef 4o ano,3.3333333333333335
608,magister,ef 5o ano,4.0
609,magister,outro,2.0
610,maplebearslz,ef 2o ano,1.0
611,maplebearslz,ef 3o ano,1.75
612,maplebearslz,ef 4o ano,4.181818181818182
613,maplebearslz,ef 5o ano,3.5
614,maplebearslz,ef 6o ano,9.25
615,maplebearslz,ef 7o ano,14.666666666666666
616,maplebearslz,ef 8o ano,12.0
617,maplebearslz,ef 9o ano,8.75
618,maplebearslz,em 1a serie,14.0
619,maplebearslz,em 2a serie,14.0
620,maplebearslz,outro,11.0
621,mariliamattoso,ef 5o ano,17.5
622,mariliamattoso,ef 6o ano,12.5
623,mariliamattoso,ef 7o ano,11.5
624,mariliamattoso,ef 8o ano,21.0
625,mariliamattoso,ef 9o ano,10.5
626,mariliamattoso,em 1a serie,44.0
627,mariliamattoso,em 2a serie,46.0
628,mariliamattoso,em 3a serie,32.0
629,master,ef 1o ano,0.42857142857142855
630,master,ef 2o ano,1.625
631,master,ef 3o ano,1.6666666666666667
632,master,ef 4o ano,1.68
633,master,ef 5o ano,1.5714285714285714
634,master,ef 6o ano,1.28
635,master,ef 7o ano,1.2083333333333333
636,master,ef 8o ano,1.375
637,master,ef 9o ano,1.625
638,master,em 1a serie,2.388888888888889
639,master,em 2a serie,2.411764705882353
640,master,em 3a serie,3.625
