,namespace,Porcentagem de relatórios de AA visualizados por docente
96,gerabixo,0.3333333333333333
97,goncalomartins,0.0
98,informacao,0.0
99,insa,0.21711028504506763
100,institutoauxiliadoradf,0.0
101,institutocristao,0.9194230769230769
102,institutoeurofarma,0.3888888888888889
103,integra,0.9230769230769231
104,integradaeducativa,0.8744894135219213
105,invictus,0.37955660668976265
106,iracemarufino,1.0
107,isem,0.7355444276039241
108,itamarati,0.3333333333333333
109,jardimsaopaulo,0.5
110,jeanpiaget,0.0
111,joaobelem,1.0
112,lasalleaguasclaras,1.0
113,liessinbarra,1.0
114,litteratus,0.16666666666666666
115,magister,0.7093171979535616
116,manoelbatista,0.5
117,maplebearslz,0.6150717934776817
118,mariliamattoso,0.8699728877360459
119,minhalista,0.5490196078431372
120,moaciralves,1.0
121,monsenhorgoncalo,0.0
122,murilorocha,0.6666666666666666
123,navegasas,0.6666666666666666
124,novotempo,0.0
125,nucleocriativo,0.8863542498115194
126,objetivolorena,0.7049141346286677
127,objetivoteresina,1.0
128,oficinadoestudante,1.0
129,overabelcabral,0.7530902332423066
130,overjoaopessoa,0.7042221667221666
131,overlimaesilva,0.927933177933178
132,overmarciliofurtado,0.6432955851725244
133,overmossoro,0.7858421493036877
134,overnascimentodecastro,0.16666666666666666
135,overpontanegra,0.7403981827957251
136,overzonanorte,0.7877183748084154
137,pauloviana,1.0
138,pedromurilo,0.0
139,pesenglish,0.0
140,physicsalcindocacela,0.16666666666666666
141,physicsalmirantebarroso,0.8068181818181818
142,physicsaugustomontenegro,0.7380952380952381
143,physicsbatistacampos,1.0
144,physicscidadenova,0.7466666666666667
145,physicsconselheirofurtado,0.05
146,physicsmacapa,0.5
147,physicsumarizal,0.7916666666666666
148,pioxi,0.4154506835986479
149,pioxiicolegio,0.538030303030303
150,plannetataboao,0.96
151,portinari,0.6232967340233776
152,porto,0.5400019788111089
153,primeirodemaio,0.05263157894736842
154,prismapatrocinio,0.6815202732137108
155,profederal,0.5506987756987757
156,progressaodc,0.6524114774114775
157,progressaoig,0.8103989230602133
158,provaspoliedro,0.5703123596451657
159,psantagema,0.317104525180733
160,qescola,0.5530821030821031
161,raizeducacao,0.0
162,rede,0.0
163,saea,0.5
164,sagradafamilia,1.0
165,santadoroteia,0.5
166,santamariacn,0.620907738095238
167,santoamerico,0.6080250148495385
168,santoamericoteste,0.0
169,santoantonio,0.0
170,sas,0.0
171,sasadapt,0.1111111111111111
172,sasadaptem,0.3
173,sasadaptfund,1.0
174,saseducacao,0.42857142857142855
175,sistemadeensinogpi,0.0
176,souhabilis,0.1557422969187675
177,spdacruz,0.8492060572664021
178,stellamarisaguaverde,0.8165608465608465
179,stellamarisjuveve,0.763177557770339
180,stellamarisxaxim,0.777455381703748
181,studos,1.0
182,universitariolondrina,0.7909515148585152
183,universobarcarena,0.3735641700838259
184,valdemiracoelho,0.0
185,villalobos,0.7894487150920975
