,namespace,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente,Porcentagem de administrantes que visualizaram relatórios de AA
16,ceespacolivre,0.9172302737520128,4.434782608695652,75.95652173913044,0 days 09:51:15.360013606,0 days 01:51:43.312174640,3 days 18:51:07.202801156,0.6289825282631039,0.8496753246753247,0.5
17,pioxi,0.9155316967247724,1.709090909090909,30.663636363636364,0 days 01:07:14.878211400,0 days 07:13:11.828245270,2 days 09:36:57.710487117,0.6659558454591069,0.4154506835986479,0.3333333333333333
18,cem,0.9151682543261372,13.384615384615383,84.6923076923077,0,0 days 00:25:36.617743802,3 days 01:53:41.966780574,0.7968694414799004,0.7681482406482407,0.7142857142857143
19,colegiobrasilia,0.9145579625611896,9.279411764705882,170.2941176470588,0 days 01:20:05.682933,0 days 00:02:55.014534890,2 days 14:48:23.491981656,0.3961140992324892,0.7284278166026562,0.5714285714285714
20,colegiointegral,0.8911574060116374,4.875,97.47222222222224,0 days 06:45:32.908810142,0 days 00:06:44.880898621,4 days 02:11:54.334977840,0.7596790814073311,0.4885970063522729,0.5192307692307693
21,colegiodasamericas,0.8906337633202468,1.6859504132231404,15.297520661157025,0 days 08:35:11.243928163,0 days 00:07:58.640101654,4 days 13:58:01.289003181,0.8518123667377399,0.7997523456076088,0.2777777777777778
22,colegioecursoprogressao,0.8855216394858338,3.855614973262032,34.22994652406417,0,0 days 00:31:30.613758806,3 days 10:15:21.062520728,0.6139425235743152,0.8701324752555463,0.3571428571428571
23,acessocampolargokids,0.8844743276283619,3.4285714285714284,56.57142857142857,0 days 00:41:34.062401200,0 days 05:33:47.752570022,1 days 11:32:17.138506416,0.4294117647058823,0.9416666666666668,0.0555555555555555
24,psantagema,0.8813883139627448,3.4878048780487805,58.63414634146341,1 days 08:35:45.137091883,0 days 00:28:56.418095494,4 days 05:13:00.263525510,0.7546511627906977,0.317104525180733,0.1666666666666666
25,colegiofuturageracao,0.8704361054766734,10.555555555555555,101.11111111111111,0 days 01:08:25.920619260,0 days 00:28:30.950259959,5 days 06:28:50.164767231,0.749400479616307,0.8998746351687529,0.25
26,portoseguro,0.8677405311275577,0.6363636363636364,58.22727272727273,0,0 days 00:00:21.785293937,0 days 13:23:36.928073357,0.0903294367693942,0.0,0.75
27,progressaodc,0.8645409107737875,4.921052631578948,44.31578947368421,0 days 11:14:43.143501500,0 days 00:37:53.267181200,4 days 17:50:56.038584492,0.581858407079646,0.6524114774114775,0.3
28,pioxiicolegio,0.8500443655723159,4.9,89.8,0 days 01:24:03.836288,0 days 08:01:46.609695263,2 days 13:37:41.321837,0.6409798417963767,0.538030303030303,0.75
29,saberviver,0.8446601941747572,0.25,20.0,0,0 days 00:09:38.718781925,0 days 17:31:35.725599,0.0922330097087378,0.0,0.3333333333333333
30,colegioensitec,0.8404704077719545,8.0,85.1875,0 days 00:18:41.876992666,0 days 01:56:21.455162086,10 days 05:11:11.933872866,0.6601551278368285,0.962218045112782,0.6
31,colegiobatistaindependente,0.8396188295508115,12.45,150.25,0 days 09:13:27.143691875,0 days 00:10:52.678661815,1 days 08:05:50.041846152,0.6659574468085107,0.7728314852710013,0.6666666666666666
32,idaam,0.8334895052473763,0.75,276.0,0,0 days 00:02:23.772285994,1 days 01:17:34.612161333,0.4755747126436782,0.0,0.3023255813953488
33,colegiouirapuru,0.8238511665597461,3.588235294117647,44.31372549019608,0,0 days 00:51:38.492128624,1 days 00:39:41.741996010,0.2943691037735849,0.8091168932078023,0.4
34,cbpdigital,0.8231596185847486,3.821428571428572,69.75,0 days 00:11:57.138618750,0 days 02:47:43.169018902,2 days 08:44:23.710290135,0.691304347826087,0.6121687239186862,0.8333333333333334
35,cats,0.8138694638694639,3.0,195.0,0,0 days 00:08:57.045351407,0 days 05:31:21.181730333,0.4393939393939394,0.3333333333333333,1.0
36,colegioflamingo,0.8050518479127892,18.33333333333333,256.0,0 days 02:16:04.772026333,0 days 00:01:08.731187304,1 days 06:12:11.659059436,0.4582291145572786,0.9390031874818894,0.5714285714285714
37,colegiomundial,0.7932148626817448,0.6,60.8,0,0 days 00:32:17.245509603,9 days 21:08:09.428276333,0.6209677419354839,0.0,0.2222222222222222
38,maplebearslz,0.786560595802302,6.866666666666666,71.68888888888888,0 days 01:04:27.052660666,0 days 18:33:17.513428074,1 days 01:29:08.180049889,0.3997259804761089,0.6150717934776817,0.7647058823529411
39,einsteinassis,0.7691566928050626,10.857142857142858,99.42857142857144,0 days 01:46:59.780133700,0 days 00:00:47.260267372,1 days 20:00:05.451535223,0.6448683015440508,0.6683857808857809,0.3125
40,isem,0.7545335897788158,8.157894736842104,53.8421052631579,9 days 00:24:16.627173500,0 days 00:14:58.342219601,4 days 21:35:50.289622690,0.7453462397617274,0.7355444276039241,0.5
41,invictus,0.7470483182855442,11.0,132.1818181818182,0 days 12:18:31.637686750,0 days 00:00:29.733984537,0 days 22:31:58.734673041,0.6511357018054746,0.3795566066897626,0.8333333333333334
42,colegioalphaunis,0.7346250309088982,8.75,159.41666666666666,0 days 02:50:39.691822190,0 days 00:45:27.487672562,6 days 03:40:15.225649047,0.703369140625,0.6759327973613688,0.5
43,plannetataboao,0.7328706570916638,0.4550669216061185,26.0,0,0 days 05:17:09.661293167,14 days 16:54:17.843338109,0.035953536967611,0.96,1.0
44,insa,0.7312035448827902,2.0,132.0,0,0 days 00:00:06.542062424,4 days 21:02:37.666188500,0.2075471698113207,0.2171102850450676,0.2
45,eccos,0.7232589340163434,2.925925925925926,24.0,2 days 05:48:53.214549,0 days 00:38:12.330296880,2 days 02:20:08.424312227,0.7114147909967846,0.9455128205128206,0.5454545454545454
46,porto,0.7053793842523186,4.983333333333333,89.48333333333333,0 days 00:04:45.119036500,0 days 01:50:12.451086116,1 days 19:34:16.015571364,0.4559751850239443,0.5400019788111089,0.75
47,casdinhosjc,0.6975399233868962,1.7142857142857142,188.42857142857144,0,0 days 00:02:03.199563539,0 days 03:33:01.643656833,0.7910375060886508,0.5555555555555555,0.25
48,itamarati,0.6933333333333334,2.0,16.5,0,0 days 00:00:29.542230975,0 days 14:47:16.540388750,0.65,0.3333333333333333,0.1363636363636363
49,magister,0.6875643666323378,2.909090909090909,50.45454545454545,0 days 00:32:23.536453333,0 days 00:47:43.343357542,4 days 08:34:01.978173781,0.5919439579684763,0.7093171979535616,0.3125
50,portinari,0.6800508967945478,1.8297872340425527,85.62765957446808,0 days 00:57:05.738239388,0 days 03:19:12.337303323,3 days 15:33:58.008100783,0.7754602727995596,0.6232967340233776,0.4722222222222222
51,prismapatrocinio,0.6796228783015003,16.82608695652174,309.2173913043478,0 days 03:06:56.334062333,0 days 00:16:44.424612333,3 days 13:05:30.429516258,0.5723192019950125,0.6815202732137108,0.8333333333333334
52,beityaacov,0.6702127659574468,1.5,50.0,0,0 days 00:00:31.977221829,0 days 13:01:20.904738666,0.0666666666666666,1.0,0.6666666666666666
53,acessohauer,0.6701555458642244,8.384615384615385,95.53846153846152,0 days 01:07:31.303896625,0 days 02:49:25.997268947,1 days 18:20:01.708669669,0.6166710910538891,0.9924242424242424,0.0869565217391304
54,cnslpb,0.666598507310091,4.521739130434782,106.30434782608695,0,0 days 01:01:29.670838188,1 days 01:41:26.491363105,0.2569867619247741,0.6532407407407407,0.3333333333333333
55,colegioup,0.664626975742959,11.7,170.73333333333332,0 days 02:04:18.551116593,0 days 09:12:33.144194329,1 days 08:43:42.774438649,0.42110029431741,0.5288006616665171,0.625
56,institutoeurofarma,0.6616915422885572,0.2,31.0,0,0 days 01:20:43.185438774,0 days 04:18:52.720088,0.67,0.3888888888888889,0.8571428571428571
57,colegioeag,0.6601529311809685,1.4285714285714286,12.0,0,0 days 00:26:41.148070398,5 days 16:33:26.884979,0.5683229813664596,0.625,0.4285714285714285
58,villalobos,0.6563471703980099,11.0,70.625,0 days 03:39:11.402732652,0 days 00:12:11.565441270,5 days 01:28:32.011164413,0.6027822364901017,0.7894487150920975,0.631578947368421
59,crescercampinas,0.645080799646348,6.377358490566038,108.24528301886792,0 days 14:02:03.542571733,0 days 00:55:18.085554220,2 days 07:36:50.739428760,0.4968308684532414,0.5020479650304212,0.5714285714285714
60,physicsbatistacampos,0.6385201346004511,3.3125,120.75,0,0 days 00:01:09.889948904,2 days 06:30:25.540228905,0.5978000956480153,1.0,0.2
61,mariliamattoso,0.6228312987885386,18.923076923076923,393.1538461538461,0,0 days 00:12:10.142066248,2 days 14:13:38.707645918,0.6844030942922852,0.8699728877360459,0.25
62,colegioplanck,0.6190651687677918,2.1494252873563218,47.47126436781609,0 days 09:58:24.317797142,0 days 04:55:31.794231584,3 days 08:05:55.340790454,0.6008716179408026,0.0,0.75
