,namespace,Porcentagem de engajamento em AAs
81,conexaosaber,0.44060389352403656
220,stellamarisjuveve,0.440444369712818
59,colegioiguatemy,0.42749106156754835
173,physicsaugustomontenegro,0.4250849194104123
83,contemporaneocidadeverde,0.42046840285318143
156,objetivolorena,0.4198741548965794
190,prevest,0.41935483870967744
21,brasilcursinhos,0.4184006192967229
153,novotempo,0.41756455508081
86,crb,0.4152641960800772
96,deltaeducacional,0.41440632297467217
166,overpontanegra,0.4116585248860782
40,colegioarena,0.40905756704418755
31,ceprimeiromundo,0.3946286035101423
61,colegiojoaopaulo,0.3876030066222345
171,physicsalcindocacela,0.3865251568094328
16,apogeustoantonio2,0.37521853146853146
58,colegioguilhermedealmeida,0.3743608473338203
219,stellamarisaguaverde,0.36359579215811283
146,master,0.3560848673385581
164,overmossoro,0.3488905553840046
161,overjoaopessoa,0.34372265966754156
223,testevictorhugo,0.3387096774193548
222,studos,0.3333333333333333
152,navegasas,0.3333333333333333
138,joaobelem,0.328042328042328
196,provaspoliedro,0.30666158445019737
94,cursosazambuja,0.2981312761854093
158,oficinadoestudante,0.2840992512112759
124,implantacao,0.2727272727272727
181,plannetaosasco,0.25
14,amaisteste,0.24561403508771928
127,institutocristao,0.24063629790310917
62,colegioliceu,0.23699626498918813
154,nucleocriativo,0.22775003500256685
165,overnascimentodecastro,0.2076468685222684
193,profederal,0.19837164402025428
9,adrianochan,0.18934973967570565
90,cursoenfase,0.18076474400518472
27,ceabb,0.17468376982006056
92,cursoleopoldo,0.17248062015503876
212,seletivoeducallis,0.16666666666666666
103,educarse,0.16657066052227343
150,montessori,0.15823235923022094
217,souhabilis,0.1516264626803499
137,jazzvestibular,0.14285714285714285
91,cursoisfera,0.1228175161926218
207,santoantonio,0.11363636363636363
198,qescola,0.11128252596935102
111,escolaceciliameireles,0.10560384686517478
214,simbios,0.09924385633270322
149,moaciralves,0.08409090909090909
206,santoamerico,0.06807580726879991
117,faculdadeflamingo,0.050970075633015456
133,iracemarufino,0.05
24,casdvest,0.03187474546359564
118,francobrasileiro,0.027009469555005872
122,gerabixo,0.025755280278050085
141,litteratus,0.024390243902439025
106,elitecuritiba,0.011627906976744186
22,camerinocursos,0.004210526315789474
201,saea,0.0
13,amais,0.0
20,bertelsmann,0.0
82,contemporaneo,0.0
227,vitae,0.0
88,cursinhoeach,0.0
89,cursobase,0.0
216,sobral,0.0
191,primeirodemaio,0.0
18,arlindocavalcanti,0.0
93,cursoprogressao,0.0
213,serios,0.0
211,saseducacao,0.0
15,anchietaba,0.0
210,sasadaptem,0.0
208,sas,0.0
205,santoagostinho,0.0
95,dante,0.0
11,alfacembilingue,0.0
112,escoladeimpacto,0.0
170,pesenglish,0.0
185,poliedrotreinamento,0.0
147,meta,0.0
75,colegiosantamaria,0.0
74,colegioriobranco,0.0
108,eluneonline,0.0
136,jardimsaopaulo,0.0
109,equipe,0.0
64,colegiomartinus,0.0
65,colegiomodelo,0.0
67,colegionobre,0.0
69,colegionovopatio,0.0
110,escola,0.0
72,colegioprogresso,0.0
73,colegioradar,0.0
121,garra,0.0
120,galois,0.0
119,fundacaobradesco,0.0
116,estantemagica,0.0
115,esperanza,0.0
49,colegiodompedrosegundo,0.0
47,colegiocognos,0.0
184,poliedropv,0.0
151,murilorocha,0.0
183,poliedro,0.0
28,cecbdf,0.0
101,educamais,0.0
76,colegioser,0.0
32,charlesdarwin,0.0
34,cmdpii,0.0
36,cognitivo,0.0
113,escolajardimdasnacoes,0.0
38,colegioanchietai,0.0
168,pauloviana,0.0
39,colegioanchietaii,0.0
104,eduqo,0.0
43,colegiobianguloiv,0.0
