,namespace,Número de AAs por turma
125,idaam,0.75
126,implantacao,3.0
127,insa,2.0
128,institutoauxiliadoradf,3.0
129,institutocristao,16.0
130,institutoeurofarma,0.2
131,institutosaojose,1.2857142857142858
132,integra,5.0
133,integradaeducativa,2.5892857142857144
134,invictus,11.0
135,iracemarufino,1.0
136,isem,8.157894736842104
137,itamarati,2.0
138,jardimsaopaulo,0.5
139,jazzvestibular,0.5
140,joaobelem,1.0
141,lasalleaguasclaras,0.8181818181818182
142,liessinbarra,1.0
143,litteratus,1.0
144,macvest,3.0
145,magister,2.909090909090909
146,maplebearslz,6.866666666666666
147,mariliamattoso,18.923076923076923
148,master,1.4714285714285715
149,meta,1.0
150,minhalista,3.6666666666666665
151,moaciralves,1.5
152,montessori,1.0
153,murilorocha,0.75
154,navegasas,1.0
155,novotempo,0.5714285714285714
156,nucleocriativo,18.727272727272727
157,nucleopva,2.0
158,objetivolorena,3.121739130434783
159,objetivoteresina,2.0
160,oficinadoestudante,2.0
161,osequim,1.0
162,overabelcabral,7.482142857142857
163,overjoaopessoa,14.11111111111111
164,overlimaesilva,5.785714285714286
165,overmarciliofurtado,10.393939393939394
166,overmossoro,9.722222222222221
167,overnascimentodecastro,1.0
168,overpontanegra,8.731707317073171
169,overzonanorte,17.5
170,pauloviana,0.5
171,pearson,1.0
172,pesenglish,1.0
173,physicsalcindocacela,2.227272727272727
174,physicsalmirantebarroso,6.866666666666666
175,physicsaugustomontenegro,8.833333333333334
176,physicsbatistacampos,3.3125
177,physicscidadenova,5.2
178,physicsconselheirofurtado,4.5
179,physicsmacapa,8.0
180,physicsumarizal,7.0
181,pioxi,1.709090909090909
182,pioxiicolegio,4.9
183,plannetaosasco,0.25
184,plannetataboao,0.45506692160611856
185,poliedro,1.2666666666666666
186,poliedropv,0.5714285714285714
187,poliedrotreinamento,1.0
188,portinari,1.8297872340425532
189,porto,4.983333333333333
190,portoseguro,0.6363636363636364
191,positivoon,1.0
192,prevest,1.0
193,primeirodemaio,2.0
194,prismapatrocinio,16.82608695652174
195,profederal,10.1
196,progressaodc,4.921052631578948
197,progressaoig,3.1746031746031744
198,provaspoliedro,1.7333333333333334
199,psantagema,3.4878048780487805
200,qescola,2.7291666666666665
201,qescola.qmagico.com.br,1.0
202,rede,1.0
203,saberviver,0.25
204,saea,2.0
205,sagradafamilia,2.75
206,santadoroteia,2.5
207,santamariacn,5.0
208,santoagostinho,1.0
209,santoamerico,2.8354430379746836
210,santoantonio,1.0
211,sas,14.0
212,sasadapt,2.0
