,namespace,numero_ex
92,cursoisfera,185.5
93,cursoleopoldo,90.0
94,cursoprogressao,10.0
95,cursosazambuja,114.41428571428571
96,dante,8.0
97,deltaeducacional,177.33333333333334
98,dommga,271.0
99,domus,276.0
100,eacorcovado,13.55
101,eccos,24.0
102,educamais,4.0
103,educandarioterciocorreia,173.42857142857142
104,educarse,186.0
105,eduqo,4.0
106,einsteinassis,99.42857142857143
107,elitecuritiba,90.0
108,elitecuritibaemilianoperneta,562.0
109,eluneonline,12.0
110,equipe,44.0
111,escola,3.0
112,escolaceciliameireles,111.2
113,escoladeimpacto,28.666666666666668
114,escolajardimdasnacoes,5.0
115,escolamaster,155.0
116,esperanza,5.0
117,estantemagica,91.0
118,faculdadeflamingo,22.125
119,fleming,100.0
120,francobrasileiro,510.6666666666667
121,fundacaobradesco,3.0
122,galois,5.0
123,garra,253.0
124,gerabixo,98.0
125,idaam,276.0
126,implantacao,33.0
127,insa,132.0
128,institutoauxiliadoradf,221.0
129,institutocristao,153.2
130,institutoeurofarma,31.0
131,institutosaojose,221.0
132,integra,48.666666666666664
133,integradaeducativa,22.071428571428573
134,invictus,132.1818181818182
135,iracemarufino,1.0
136,isem,53.8421052631579
137,itamarati,16.5
138,jardimsaopaulo,271.0
139,jazzvestibular,60.0
140,joaobelem,10.0
141,lasalleaguasclaras,221.0
142,liessinbarra,10.0
143,litteratus,5.0
144,macvest,195.0
145,magister,50.45454545454545
146,maplebearslz,71.68888888888888
147,mariliamattoso,393.15384615384613
148,master,222.23214285714286
149,meta,2.0
150,minhalista,32.666666666666664
151,moaciralves,10.0
152,montessori,276.0
153,murilorocha,9.0
154,navegasas,3.0
155,novotempo,236.85714285714286
156,nucleocriativo,188.27272727272728
157,nucleopva,90.0
158,objetivolorena,43.95652173913044
159,objetivoteresina,5.0
160,oficinadoestudante,47.86666666666667
161,osequim,25.0
162,overabelcabral,142.69642857142858
163,overjoaopessoa,379.77777777777777
164,overlimaesilva,67.78571428571429
165,overmarciliofurtado,159.9090909090909
166,overmossoro,260.0
167,overnascimentodecastro,255.375
168,overpontanegra,122.60975609756098
169,overzonanorte,319.77777777777777
170,pauloviana,8.0
171,pearson,6.0
172,pesenglish,1.0
173,physicsalcindocacela,234.3181818181818
174,physicsalmirantebarroso,239.4
175,physicsaugustomontenegro,250.08333333333334
176,physicsbatistacampos,120.75
177,physicscidadenova,275.2
178,physicsconselheirofurtado,351.7857142857143
179,physicsmacapa,285.3
180,physicsumarizal,191.27777777777777
181,pioxi,30.663636363636364
182,pioxiicolegio,89.8
183,plannetaosasco,26.0
184,plannetataboao,26.0
185,poliedro,43.0
186,poliedropv,60.42857142857143
187,poliedrotreinamento,10.0
188,portinari,85.62765957446808
189,porto,89.48333333333333
190,portoseguro,58.22727272727273
191,positivoon,4.0
192,prevest,16.0
193,primeirodemaio,120.0
194,prismapatrocinio,309.2173913043478
195,profederal,181.6
196,progressaodc,44.31578947368421
197,progressaoig,42.682539682539684
198,provaspoliedro,53.84102564102564
199,psantagema,58.63414634146341
200,qescola,27.0625
201,qescola.qmagico.com.br,1.0
202,rede,5.0
203,saberviver,20.0
204,saea,6.0
205,sagradafamilia,232.25
206,santadoroteia,168.5
207,santamariacn,162.4
208,santoagostinho,3.0
209,santoamerico,305.67088607594934
210,santoantonio,12.0
211,sas,921.5
212,sasadapt,8.0
213,sasadaptem,62.0
214,saseducacao,13.0
215,seletivoeducallis,23.333333333333332
216,serios,3.0
217,simbios,276.0
218,simuladoita,50.5
