,namespace,Porcentagem de visualização de relatórios de AA
310,prismapatrocinio,0.4802992518703242
311,profederal,0.16546416546416545
312,progressaodc,0.5677795655671762
313,progressaoeducacao,0.0
314,progressaoig,0.7703330751355538
315,projetodeventoempopa,0.0
316,projetogauss,0.0
317,provaspoliedro,0.0910260574112474
318,psantagema,0.6883720930232559
319,qescola,0.006327111673521037
320,qi,0.0
321,rede,0.0
322,redeapogeu,0.0
323,redefilhasdejesus,0.0
324,redeinspira,0.0
325,redeisaacnewton,0.0
326,reges,0.0
327,relacionamento,0.0
328,riobrancocampinas,0.0
329,saberviver,0.09223300970873786
330,saea,0.0
331,saedigital,0.0
332,sagradafamilia,0.29098360655737704
333,santacruz,0.0
334,santadoroteia,0.0707070707070707
335,santamarcelina,0.0
336,santamaria,0.0
337,santamariacn,0.5653939886271324
338,santoagostinho,0.0
339,santoagostinholeblon,0.0
340,santoagostinhomg,0.0
341,santoamerico,0.28245042912104174
342,santoamericoteste,0.0
343,santoantonio,0.0
344,saobento,0.0
345,saojosecaxiasdosul,0.0
346,saoluiz,0.0
347,sas,0.027777777777777776
348,sasadapt,0.020833333333333332
349,sasadaptem,0.0
350,sasadaptfund,0.0
351,sasadaptrelatorios,0.0
352,saseducacao,0.02
353,seletivoeducallis,0.07894736842105263
354,serios,0.0
355,simbios,0.07509881422924901
356,simuladoita,0.01610305958132045
357,sistemaprima,0.0
358,sme,0.0
359,sobral,0.0
360,solarcursinho,0.0
361,souhabilis,0.1338994121489223
362,spdacruz,0.7785556727726096
363,stellamarisaguaverde,0.4624277456647399
364,stellamarisjuveve,0.39075686537173476
365,stellamarisxaxim,0.32780250910562525
366,studos,0.3333333333333333
367,testevictorhugo,0.0
368,tomasdeaquino,0.0
369,topguncolombo,0.0
370,uirapuru,0.0
371,universitariolondrina,0.2659818719054464
372,universobarcarena,0.3003896563939072
373,veracruz,0.0
374,vertice,0.0
375,villalobos,0.6027822364901017
376,visaorecife,0.0
377,vitae,0.0
378,vitalbrazil,0.0
379,wilsondeandradebarreto,0.0
