,namespace,Porcentagem de administrantes que visualizaram relatórios de AA
297,cesilvamachado,0.0
298,cesilvapaiva,0.0
299,cesimoesfilho,0.0
300,ceteb,0.0
301,cetutores,0.0
302,cevangelicoagj,0.0
303,cevip,0.0
304,cfc,0.0
305,cfimaculadaconceicao,0.0
306,cfsantoantonio,0.0
307,chacaravivaavida,0.0
308,challenge,0.0
309,chamberlain,0.0
310,charlesdarwin,0.0
311,chcardoso,0.0
312,chegadeficartestando,0.0
313,christianschool,0.0
314,ciadosaber,0.3333333333333333
315,cicerofranklin,0.0
316,cidadaniaevida,0.0
317,cieb,0.0
318,ckadima,0.0
319,classea,0.0
320,clubedopimpolho,0.0
321,cmariaimaculada,0.0
322,cmc,0.0
323,cmdpii,0.0
324,cmodelo,0.0
325,cmpalmas,0.0
326,cmsaipiau,0.0
327,cnecnovamutum,0.0
328,cnecporangatu,0.0
329,cnn,0.0
330,cnsasjc,0.0
331,cnscarmo,0.0
332,cnsco,0.0
333,cnsd,0.0
334,cnsl,0.0
335,cnslpb,0.3333333333333333
336,cnsr,0.0
337,coc,0.0
338,cocaraucaria,0.0
339,cocunidsul,0.0
340,coelgiocardeal,0.0
341,cognita,0.0
342,cognitivo,0.3333333333333333
343,colband,0.0
344,colbrasileiro,0.0
345,colegio1mundo,0.0
346,colegioabgar,0.0
347,colegioabre,0.0
348,colegioadventista,0.0
349,colegioadventus,0.0
350,colegioages,0.0
351,colegioaguiabelojardim,0.0
352,colegioalberteinstein,0.0
353,colegioalberteinsten,0.0
354,colegioalbertsabin,0.0
355,colegioalexandra,0.0
356,colegioalphaunis,0.5
357,colegioalternativo,0.0
358,colegioalub,0.0
359,colegioalvaromelo,0.0
360,colegioamericana,0.0
361,colegioamparosurubim,0.0
362,colegioanaliafranco,0.0
363,colegioanchietai,0.25
364,colegioanchietaii,0.0
365,colegioanglomorumbi,0.0
366,colegioanisio,0.0
367,colegioantoninaramos,0.0
368,colegioapogeu,0.0
369,colegioapoiomg,0.0
370,colegioaprendiz,0.0
371,colegioarca,0.0
372,colegioarena,0.8125
373,colegioarturferreira,0.0
374,colegioasas,0.0
375,colegioassembleiadedeus,0.0
376,colegioathena,0.0
377,colegioatheneu,0.0
378,colegioatibaia,0.0
379,colegioatitude,0.0
380,colegioauxiliadora,0.0
381,colegioavanco,0.0
382,colegiobal,0.0
383,colegiobaraodemaua,0.0
384,colegiobatistadeipiau,0.0
385,colegiobatistadepalmas,0.0
