,namespace,user_id,id
17104,provaspoliedro,sirleia.natal,527866
17105,litteratus,anaclaudiapolesi,527870
17106,porto,sas1564930,545178
17107,santoamericoteste,sas1207516,516388
17108,colegioriobranco,sas.professor,527929
17109,colegioriobranco,riobranco,527930
17110,overzonanorte,Hellem.Gercina,527928
17111,litteratus,andregustavo,527871
17112,apogeustoantonio2,Acauhi,476235
17113,litteratus,rafaelbaptistella,527872
17114,francobrasileiro,sas1175666,484099
17115,santoamerico,sas1264789,469396
17116,francobrasileiro,sas1476099,508775
17117,esperanza,wilsontn96,598581
17118,colegiosete,marlus.gomes,527933
17119,qescola,pedroprofqescola,264019
17120,antaresjardins,adenes.silva.prof,368537
17121,antaresjardins,alana.barbara.prof,368545
17122,antaresjardins,aline.valerio.prof,294368
17123,antaresjardins,alysson.castro.prof,368538
17124,antaresjardins,andersoncarneiro.prof,368539
17125,antaresjardins,antonio.adriano.prof,368544
17126,antaresjardins,arivaldo.cruz.prof,368558
17127,antaresjardins,aurilene.luz.prof,368169
17128,antaresjardins,cristianecerqueira.prof,368541
17129,antaresjardins,eveline.valerio.prof,372519
17130,antaresjardins,fabio.motta.prof,368540
17131,antaresjardins,fernanda.prof,280697
17132,antaresjardins,prof.helder,280711
17133,santoantonio,sas1006867,565145
17134,antaresjardins,ferreira.prof,282794
17135,liessin,sas1500237,504156
17136,antaresjardins,marcelo.prof,368543
17137,antaresjardins,marcos.costa.prof,368546
17138,antaresjardins,thiagosilva.prof,280698
17139,antaresjardins,wellington.prof,368542
17140,litteratus,camilacremonesi,527875
17141,litteratus,franciscoleandro,527876
17142,litteratus,crisreis,527877
17143,litteratus,eduardoalvesrodrigues,527878
17144,contemporaneocidadeverde,patricia.oliveira.cv,594234
17145,blueschooleducacional,sas1178770,496073
17146,progressaoig,prog1967,527977
17147,stellamarisaguaverde,jessica.lacerda,546329
17148,ceprimeiromundo,pmundo.gabriela.lima,527989
17149,provaspoliedro,poliedro.biologia.sp,527993
