,namespace,user_id,id
6142,apogeucemap,ju.martins,407882
6143,acessopinhais,jonasstanley,348959
6144,portinari,jonasstanley,392710
6145,cursoisfera,ea.simulados,407858
6146,dominius,jonasstanley,351912
6147,acessocampolargo,jonasstanley,337442
6148,apogeudivinopolis,ju.martins,407869
6149,overmarciliofurtado,jonasstanley,394069
6150,unificado,rafaelbassiunificado,407649
6151,stellamarisjuveve,jonasstanley,351666
6152,overnascimentodecastro,jonasstanley,394075
6153,poliedro,adston.adm,407906
6154,universitariolondrina,jonasstanley,363990
6155,integra,alinecosta.a.lima,593475
6156,acessofazendariogrande,jonasstanley,348960
6157,physicsconselheirofurtado,matriculador.lorena.pereira,407057
6158,santoagostinhomg,adminsas,407629
6159,acessosantafelicidade,jonasstanley,337710
6160,santoagostinhomg,consultorsas,407626
6161,magnumagostiniano,adminsas,407721
6162,overmossoro,jonasstanley,394074
6163,magnumagostiniano,consultorsas,407720
6164,apogeuuba,ju.martins,407870
6165,aescobjetivo,mariana.cristina,410967
6166,apogeubenfica,ju.martins,407871
6167,sasadaptem,adminsas,407634
6168,sasadaptem,consultorsas,407631
6169,progressaoeducacao,thais.mendes,407610
6170,apogeunovohorizonte,ju.martins,407872
6171,amais,matriculadores.deysiane.lucia,412782
6172,unificado,equipecomercial,408134
6173,amais,matriculadores.edimara.mayer,412783
6174,saoluiz,adminsas,407725
6175,apogeu,fredgardel,411502
6176,saoluiz,consultorsas,407724
6177,apogeuparademinas,ju.martins,407873
6178,poliedro,lucasnobre.adm,407910
6179,sasadaptfund,consultorsas,407636
6180,abgarrenault,coord.abgar,525579
6181,unificado,rodrigosmidtunificado,407654
6182,apogeupiaget,ju.martins,407874
6183,sap,manuelasap.raiz,397610
6184,institutoeurofarma,fabio.romero,570238
6185,benjaminconstant,adminsas,407730
6186,apogeuarcoiris,ju.martins,407875
6187,poliedro,lucascorte.adm,407912
6188,physics,raphaelmachado,403115
6189,colegioglobal,caio.almeida,377127
6190,apogeumbcursos,ju.martins,407876
6191,adrianochan,Edna.Santos,499623
6192,apogeupousoalegre,ju.martins,407877
6193,escolinhacaca,master.carlos.vianey,458550
6194,catarinense,adminsas,407736
6195,sersorocaba,muriloser,401863
6196,grandepasso,adminsas,407741
6197,grandepasso,consultorsas,407740
6198,brasilcursinhos,institucional.gerabixo,401882
6199,colegioser,muriloser,401890
6200,acessoboqueirao,jonasstanley,337759
6201,maplebearslz,andrea.mendonca,428642
6202,colegioalphaunis,cristiane.dir,537282
6203,maplebearslz,berta.biondi,428640
6204,oswalddeandrade,adminsas,407745
6205,oswalddeandrade,consultorsas,407744
6206,raizeducacao,equipecomercial,408412
6207,colegioser,rbarreiros,408411
6208,acessosantafelicidade,larissa.santos,341107
6209,qescola,alunoe61hhgofld555,407620
6210,pioxi,coordenacaopioxi2,339444
6211,colegioser,matriculasser,408548
6212,master,eliane.maria,348691
6213,physicsmacapa,jonasstanley,338526
6214,colegiomilitardompedroii,boletimcolegiomilitar,401959
6215,ovquim,roberto.silva,428657
6216,maplebearslz,karine.alves,428633
