,namespace,grade,Porcentagem de exercícios de AAs em relatórios de AD
84,pearson,em 3a serie,0.0
85,overzonanorte,ef 5o ano,0.0
86,overzonanorte,ef 4o ano,0.0
87,overzonanorte,ef 3o ano,0.0
88,overzonanorte,ef 2o ano,0.0
89,overzonanorte,ef 1o ano,0.0
90,overzonanorte,0,0.0
91,pauloviana,ef 9o ano,0.0
92,pesenglish,0,0.0
93,overpontanegra,em 2a serie,0.0
94,physicsalmirantebarroso,ef 4o ano,0.0
95,physicsalmirantebarroso,em 1a serie,0.0
96,physicsalmirantebarroso,ef 9o ano,0.0
97,physicsalmirantebarroso,ef 8o ano,0.0
98,physicsalmirantebarroso,ef 7o ano,0.0
99,physicsalmirantebarroso,ef 6o ano,0.0
100,physicsalmirantebarroso,ef 5o ano,0.0
101,physicsalmirantebarroso,ef 3o ano,0.0
102,physicsalcindocacela,0,0.0
103,physicsalmirantebarroso,ef 2o ano,0.0
104,physicsalcindocacela,outro,0.0
105,physicsalcindocacela,em 3a serie,0.0
106,physicsalcindocacela,em 2a serie,0.0
107,physicsalcindocacela,em 1a serie,0.0
108,physicsalcindocacela,ef 9o ano,0.0
109,overpontanegra,em 3a serie,0.0
110,overpontanegra,em 1a serie,0.0
111,overlimaesilva,ef 5o ano,0.0
112,overmarciliofurtado,em 3a serie,0.0
113,overmossoro,ef 6o ano,0.0
114,overmossoro,ef 5o ano,0.0
115,overmossoro,ef 4o ano,0.0
116,overmossoro,ef 2o ano,0.0
117,overmossoro,ef 1o ano,0.0
118,overmossoro,0,0.0
119,overmarciliofurtado,em 2a serie,0.0
120,overmossoro,ef 8o ano,0.0
121,overmarciliofurtado,em 1a serie,0.0
122,overmarciliofurtado,ef 9o ano,0.0
123,overmarciliofurtado,ef 8o ano,0.0
124,overmarciliofurtado,ef 7o ano,0.0
125,overmarciliofurtado,ef 6o ano,0.0
126,overmarciliofurtado,0,0.0
127,overmossoro,ef 7o ano,0.0
128,overmossoro,ef 9o ano,0.0
129,overpontanegra,ef 9o ano,0.0
130,overpontanegra,ef 2o ano,0.0
131,overpontanegra,ef 8o ano,0.0
132,overpontanegra,ef 7o ano,0.0
133,overpontanegra,ef 6o ano,0.0
134,overpontanegra,ef 5o ano,0.0
135,overpontanegra,ef 4o ano,0.0
136,overpontanegra,ef 3o ano,0.0
137,overpontanegra,ef 1o ano,0.0
138,overmossoro,em 1a serie,0.0
139,overpontanegra,0,0.0
140,overnascimentodecastro,outro,0.0
141,overnascimentodecastro,0,0.0
142,overmossoro,outro,0.0
143,overmossoro,em 3a serie,0.0
144,overmossoro,em 2a serie,0.0
145,meta,0,0.0
146,acessoalmirantetamandare,ef 2o ano,0.0
147,master,em 3a serie,0.0
148,institutocristao,ef 7o ano,0.0
149,francobrasileiro,em 3a serie,0.0
150,fundacaobradesco,0,0.0
151,galois,0,0.0
152,garra,0,0.0
153,gerabixo,outro,0.0
154,idaam,em 3a serie,0.0
155,implantacao,outro,0.0
156,insa,em 1a serie,0.0
157,insa,em 2a serie,0.0
158,insa,em 3a serie,0.0
159,institutoauxiliadoradf,em 1a serie,0.0
160,institutoauxiliadoradf,em 2a serie,0.0
161,institutoauxiliadoradf,em 3a serie,0.0
162,institutocristao,ef 6o ano,0.0
163,institutocristao,ef 9o ano,0.0
164,integradaeducativa,ef 6o ano,0.0
165,institutocristao,em 2a serie,0.0
166,institutocristao,em 3a serie,0.0
167,institutoeurofarma,outro,0.0
168,institutosaojose,em 1a serie,0.0
169,institutosaojose,em 2a serie,0.0
170,institutosaojose,em 3a serie,0.0
171,integra,ef 1o ano,0.0
172,integra,ef 2o ano,0.0
173,integra,ef 3o ano,0.0
174,integra,ef 4o ano,0.0
175,integra,ef 5o ano,0.0
176,integra,ef 6o ano,0.0
177,integra,ef 7o ano,0.0
178,integra,ef 8o ano,0.0
179,fleming,0,0.0
180,faculdadeflamingo,outro,0.0
181,faculdadeflamingo,0,0.0
182,estantemagica,outro,0.0
183,educandarioterciocorreia,ef 7o ano,0.0
184,educandarioterciocorreia,ef 8o ano,0.0
185,educandarioterciocorreia,ef 9o ano,0.0
186,educarse,outro,0.0
187,eduqo,0,0.0
188,einsteinassis,ef 6o ano,0.0
189,einsteinassis,ef 7o ano,0.0
190,einsteinassis,ef 8o ano,0.0
191,einsteinassis,ef 9o ano,0.0
