,namespace,grade,gerados
673,mariliamattoso,ef 7o ano,0.0
674,mariliamattoso,ef 8o ano,0.0
675,mariliamattoso,ef 9o ano,0.0
676,mariliamattoso,em 1a serie,0.0
677,mariliamattoso,em 2a serie,0.0
678,mariliamattoso,em 3a serie,0.0
679,master,ef 1o ano,0.0
680,master,ef 2o ano,0.0
682,master,ef 4o ano,0.0
683,master,ef 5o ano,0.0
825,physicsalmirantebarroso,em 3a serie,0.0
686,master,ef 8o ano,0.0
688,master,em 1a serie,0.0
655,magister,ef 4o ano,0.0
654,magister,ef 3o ano,0.0
653,magister,0,0.0
652,macvest,outro,0.0
623,integradaeducativa,ef 9o ano,0.0
624,integradaeducativa,em 1a serie,0.0
625,integradaeducativa,em 2a serie,0.0
626,integradaeducativa,em 3a serie,0.0
627,invictus,0,0.0
628,invictus,ef 6o ano,0.0
629,invictus,ef 7o ano,0.0
630,invictus,ef 8o ano,0.0
631,invictus,ef 9o ano,0.0
632,invictus,em 1a serie,0.0
633,invictus,em 2a serie,0.0
634,invictus,em 3a serie,0.0
635,invictus,outro,0.0
636,iracemarufino,infantil iii,0.0
637,isem,ef 3o ano,0.0
638,isem,ef 4o ano,0.0
639,isem,ef 5o ano,0.0
640,isem,ef 6o ano,0.0
641,isem,ef 7o ano,0.0
642,isem,ef 8o ano,0.0
643,isem,ef 9o ano,0.0
644,itamarati,ef 8o ano,0.0
645,jazzvestibular,outro,0.0
646,joaobelem,ef 6o ano,0.0
647,joaobelem,ef 9o ano,0.0
648,lasalleaguasclaras,em 1a serie,0.0
649,lasalleaguasclaras,em 2a serie,0.0
650,lasalleaguasclaras,em 3a serie,0.0
651,litteratus,em 3a serie,0.0
824,physicsalmirantebarroso,em 2a serie,0.0
830,physicsaugustomontenegro,ef 6o ano,0.0
826,physicsaugustomontenegro,ef 2o ano,0.0
1007,santoamerico,ef 8o ano,0.0
1016,sas,em 1a serie,0.0
1014,santoantonio,em 3a serie,0.0
1013,santoantonio,0,0.0
1012,santoamerico,outro,0.0
1010,santoamerico,em 2a serie,0.0
1008,santoamerico,ef 9o ano,0.0
1006,santoamerico,ef 7o ano,0.0
827,physicsaugustomontenegro,ef 3o ano,0.0
1005,santoamerico,ef 6o ano,0.0
1004,santoamerico,0,0.0
1003,santamariacn,em 3a serie,0.0
1002,santamariacn,em 2a serie,0.0
1001,santamariacn,0,0.0
1000,santadoroteia,em 3a serie,0.0
1017,sasadapt,ef 1o ano,0.0
1018,sasadaptem,0,0.0
1019,seletivoeducallis,0,0.0
1020,seletivoeducallis,ef 5o ano,0.0
1021,seletivoeducallis,em 1a serie,0.0
1022,seletivoeducallis,em 2a serie,0.0
1023,simbios,outro,0.0
1024,simuladoita,outro,0.0
1025,sobral,outro,0.0
1026,souhabilis,em 3a serie,0.0
1027,souhabilis,outro,0.0
1028,spdacruz,0,0.0
1029,spdacruz,ef 6o ano,0.0
1030,spdacruz,ef 7o ano,0.0
1031,spdacruz,ef 8o ano,0.0
1032,spdacruz,ef 9o ano,0.0
1033,spdacruz,em 1a serie,0.0
999,santadoroteia,em 2a serie,0.0
998,santadoroteia,em 1a serie,0.0
997,sagradafamilia,em 3a serie,0.0
978,psantagema,em 2a serie,0.0
964,provaspoliedro,ef 7o ano,0.0
965,provaspoliedro,ef 8o ano,0.0
966,provaspoliedro,ef 9o ano,0.0
967,provaspoliedro,em 1a serie,0.0
968,provaspoliedro,em 2a serie,0.0
969,provaspoliedro,em 3a serie,0.0
970,provaspoliedro,outro,0.0
971,psantagema,0,0.0
972,psantagema,ef 2o ano,0.0
973,psantagema,ef 6o ano,0.0
974,psantagema,ef 7o ano,0.0
975,psantagema,ef 8o ano,0.0
976,psantagema,ef 9o ano,0.0
977,psantagema,em 1a serie,0.0
979,psantagema,em 3a serie,0.0
996,sagradafamilia,em 2a serie,0.0
980,psantagema,outro,0.0
981,qescola,0,0.0
982,qescola,ef 1o ano,0.0
983,qescola,ef 5o ano,0.0
985,qescola,ef 7o ano,0.0
986,qescola,em 1a serie,0.0
987,qescola,em 2a serie,0.0
988,qescola,em 3a serie,0.0
989,qescola,outro,0.0
990,qescola.qmagico.com.br,0,0.0
992,saberviver,ef 4o ano,0.0
993,saberviver,ef 5o ano,0.0
994,saea,0,0.0
995,sagradafamilia,em 1a serie,0.0
1034,spdacruz,em 2a serie,0.0
1035,spdacruz,em 3a serie,0.0
1036,stellamarisaguaverde,ef 2o ano,0.0
1087,universobarcarena,ef 7o ano,0.0
1073,universitariolondrina,ef 6o ano,0.0
1074,universitariolondrina,ef 7o ano,0.0
1075,universitariolondrina,ef 8o ano,0.0
1076,universitariolondrina,ef 9o ano,0.0
1077,universitariolondrina,em 1a serie,0.0
1078,universitariolondrina,em 2a serie,0.0
1079,universitariolondrina,em 3a serie,0.0
1080,universitariolondrina,outro,0.0
1081,universobarcarena,ef 1o ano,0.0
1082,universobarcarena,ef 2o ano,0.0
1083,universobarcarena,ef 3o ano,0.0
1084,universobarcarena,ef 4o ano,0.0
1085,universobarcarena,ef 5o ano,0.0
1086,universobarcarena,ef 6o ano,0.0
1088,universobarcarena,ef 8o ano,0.0
1071,universitariolondrina,ef 4o ano,0.0
1089,universobarcarena,ef 9o ano,0.0
1090,universobarcarena,em 1a serie,0.0
1091,universobarcarena,em 2a serie,0.0
1092,universobarcarena,em 3a serie,0.0
1093,villalobos,ef 4o ano,0.0
1094,villalobos,ef 5o ano,0.0
1095,villalobos,ef 6o ano,0.0
1096,villalobos,ef 7o ano,0.0
1097,villalobos,ef 8o ano,0.0
1098,villalobos,ef 9o ano,0.0
1099,villalobos,em 1a serie,0.0
1100,villalobos,em 2a serie,0.0
1101,villalobos,em 3a serie,0.0
1102,vitae,ef 2o ano,0.0
1072,universitariolondrina,ef 5o ano,0.0
1070,universitariolondrina,ef 3o ano,0.0
1037,stellamarisaguaverde,ef 3o ano,0.0
1052,stellamarisjuveve,em 3a serie,0.0
1038,stellamarisaguaverde,ef 4o ano,0.0
1039,stellamarisaguaverde,ef 5o ano,0.0
1040,stellamarisaguaverde,ef 6o ano,0.0
1041,stellamarisaguaverde,ef 7o ano,0.0
1042,stellamarisjuveve,ef 2o ano,0.0
1043,stellamarisjuveve,ef 3o ano,0.0
1044,stellamarisjuveve,ef 4o ano,0.0
1045,stellamarisjuveve,ef 5o ano,0.0
1046,stellamarisjuveve,ef 6o ano,0.0
1047,stellamarisjuveve,ef 7o ano,0.0
1048,stellamarisjuveve,ef 8o ano,0.0
1049,stellamarisjuveve,ef 9o ano,0.0
1050,stellamarisjuveve,em 1a serie,0.0
1051,stellamarisjuveve,em 2a serie,0.0
1053,stellamarisjuveve,outro,0.0
1069,universitariolondrina,0,0.0
1054,stellamarisxaxim,ef 2o ano,0.0
1055,stellamarisxaxim,ef 3o ano,0.0
1056,stellamarisxaxim,ef 4o ano,0.0
1057,stellamarisxaxim,ef 5o ano,0.0
1058,stellamarisxaxim,ef 6o ano,0.0
1059,stellamarisxaxim,ef 7o ano,0.0
1060,stellamarisxaxim,ef 8o ano,0.0
1061,stellamarisxaxim,ef 9o ano,0.0
1062,stellamarisxaxim,em 1a serie,0.0
1063,stellamarisxaxim,em 2a serie,0.0
1064,stellamarisxaxim,em 3a serie,0.0
1065,studos,em 1a serie,0.0
1066,testevictorhugo,0,0.0
1067,testevictorhugo,ef 7o ano,0.0
963,provaspoliedro,ef 6o ano,0.0
962,provaspoliedro,ef 1o ano,0.0
961,provaspoliedro,0,0.0
876,physicsumarizal,ef 7o ano,0.0
862,physicsconselheirofurtado,em 3a serie,0.0
863,physicsmacapa,ef 7o ano,0.0
864,physicsmacapa,ef 8o ano,0.0
865,physicsmacapa,ef 9o ano,0.0
866,physicsmacapa,em 1a serie,0.0
867,physicsmacapa,em 2a serie,0.0
868,physicsmacapa,em 3a serie,0.0
869,physicsmacapa,outro,0.0
870,physicsumarizal,0,0.0
871,physicsumarizal,ef 2o ano,0.0
872,physicsumarizal,ef 3o ano,0.0
873,physicsumarizal,ef 4o ano,0.0
874,physicsumarizal,ef 5o ano,0.0
875,physicsumarizal,ef 6o ano,0.0
877,physicsumarizal,ef 8o ano,0.0
860,physicsconselheirofurtado,em 1a serie,0.0
878,physicsumarizal,ef 9o ano,0.0
879,physicsumarizal,em 1a serie,0.0
880,physicsumarizal,em 2a serie,0.0
881,physicsumarizal,em 3a serie,0.0
882,pioxi,0,0.0
883,pioxi,ef 1o ano,0.0
884,pioxi,ef 2o ano,0.0
885,pioxi,ef 3o ano,0.0
886,pioxi,ef 4o ano,0.0
887,pioxi,ef 5o ano,0.0
888,pioxi,ef 6o ano,0.0
889,pioxi,ef 7o ano,0.0
890,pioxi,ef 8o ano,0.0
891,pioxi,ef 9o ano,0.0
861,physicsconselheirofurtado,em 2a serie,0.0
859,physicsconselheirofurtado,0,0.0
893,pioxi,em 2a serie,0.0
842,physicsbatistacampos,ef 5o ano,0.0
828,physicsaugustomontenegro,ef 4o ano,0.0
829,physicsaugustomontenegro,ef 5o ano,0.0
553,educandarioterciocorreia,ef 5o ano,0.0
831,physicsaugustomontenegro,ef 7o ano,0.0
832,physicsaugustomontenegro,ef 8o ano,0.0
833,physicsaugustomontenegro,ef 9o ano,0.0
834,physicsaugustomontenegro,em 1a serie,0.0
835,physicsaugustomontenegro,em 2a serie,0.0
836,physicsaugustomontenegro,em 3a serie,0.0
837,physicsaugustomontenegro,outro,0.0
838,physicsbatistacampos,0,0.0
839,physicsbatistacampos,ef 2o ano,0.0
840,physicsbatistacampos,ef 3o ano,0.0
841,physicsbatistacampos,ef 4o ano,0.0
843,physicsbatistacampos,ef 6o ano,0.0
858,physicscidadenova,outro,0.0
844,physicsbatistacampos,ef 7o ano,0.0
845,physicsbatistacampos,ef 8o ano,0.0
846,physicsbatistacampos,ef 9o ano,0.0
847,physicscidadenova,ef 2o ano,0.0
848,physicscidadenova,ef 3o ano,0.0
849,physicscidadenova,ef 4o ano,0.0
850,physicscidadenova,ef 5o ano,0.0
851,physicscidadenova,ef 6o ano,0.0
852,physicscidadenova,ef 7o ano,0.0
853,physicscidadenova,ef 8o ano,0.0
854,physicscidadenova,ef 9o ano,0.0
855,physicscidadenova,em 1a serie,0.0
856,physicscidadenova,em 2a serie,0.0
857,physicscidadenova,em 3a serie,0.0
892,pioxi,em 1a serie,0.0
894,pioxi,em 3a serie,0.0
960,progressaoig,outro,0.0
944,prismapatrocinio,em 2a serie,0.0
930,portoseguro,0,0.0
931,portoseguro,ef 4o ano,0.0
932,positivoon,em 3a serie,0.0
933,prevest,0,0.0
934,prevest,outro,0.0
935,primeirodemaio,0,0.0
936,prismapatrocinio,ef 2o ano,0.0
937,prismapatrocinio,ef 4o ano,0.0
938,prismapatrocinio,ef 5o ano,0.0
939,prismapatrocinio,ef 6o ano,0.0
940,prismapatrocinio,ef 7o ano,0.0
941,prismapatrocinio,ef 8o ano,0.0
942,prismapatrocinio,ef 9o ano,0.0
943,prismapatrocinio,em 1a serie,0.0
945,prismapatrocinio,em 3a serie,0.0
928,porto,em 2a serie,0.0
946,prismapatrocinio,outro,0.0
947,profederal,0,0.0
948,profederal,outro,0.0
949,progressaodc,0,0.0
950,progressaodc,em 1a serie,0.0
951,progressaodc,em 2a serie,0.0
952,progressaodc,em 3a serie,0.0
953,progressaoig,0,0.0
954,progressaoig,ef 6o ano,0.0
955,progressaoig,ef 7o ano,0.0
956,progressaoig,ef 9o ano,0.0
957,progressaoig,em 1a serie,0.0
958,progressaoig,em 2a serie,0.0
959,progressaoig,em 3a serie,0.0
929,porto,em 3a serie,0.0
927,porto,em 1a serie,0.0
895,pioxi,outro,0.0
910,portinari,0,0.0
896,pioxiicolegio,ef 9o ano,0.0
897,pioxiicolegio,em 1a serie,0.0
898,pioxiicolegio,em 2a serie,0.0
899,pioxiicolegio,em 3a serie,0.0
900,plannetaosasco,ef 2o ano,0.0
901,plannetaosasco,ef 3o ano,0.0
902,plannetataboao,ef 1o ano,0.0
903,plannetataboao,ef 2o ano,0.0
904,plannetataboao,ef 3o ano,0.0
905,plannetataboao,ef 4o ano,0.0
906,plannetataboao,ef 5o ano,0.0
907,poliedro,0,0.0
908,poliedropv,0,0.0
909,poliedrotreinamento,0,0.0
911,portinari,ef 2o ano,0.0
926,porto,ef 9o ano,0.0
912,portinari,ef 3o ano,0.0
913,portinari,ef 4o ano,0.0
914,portinari,ef 5o ano,0.0
915,portinari,ef 6o ano,0.0
916,portinari,ef 7o ano,0.0
917,portinari,ef 8o ano,0.0
918,portinari,ef 9o ano,0.0
919,portinari,em 1a serie,0.0
920,portinari,em 2a serie,0.0
921,portinari,em 3a serie,0.0
922,porto,0,0.0
923,porto,ef 6o ano,0.0
924,porto,ef 7o ano,0.0
925,porto,ef 8o ano,0.0
554,educandarioterciocorreia,ef 6o ano,0.0
552,educandarioterciocorreia,ef 4o ano,0.0
1,acessoalmirantetamandare,ef 3o ano,0.0
183,ceprimeiromundo,ef 9o ano,0.0
189,ciadosaber,ef 2o ano,0.0
188,charlesdarwin,0,0.0
187,ceprimeiromundo,outro,0.0
186,ceprimeiromundo,em 3a serie,0.0
185,ceprimeiromundo,em 2a serie,0.0
184,ceprimeiromundo,em 1a serie,0.0
182,ceprimeiromundo,ef 8o ano,0.0
208,colegioalphaunis,ef 7o ano,0.0
181,ceprimeiromundo,ef 7o ano,0.0
180,ceprimeiromundo,ef 6o ano,0.0
179,ceprimeiromundo,ef 5o ano,0.0
178,ceprimeiromundo,ef 4o ano,0.0
177,ceprimeiromundo,ef 3o ano,0.0
176,ceprimeiromundo,ef 2o ano,0.0
190,ciadosaber,ef 3o ano,0.0
191,ciadosaber,ef 4o ano,0.0
192,ciadosaber,ef 5o ano,0.0
193,ciadosaber,ef 6o ano,0.0
194,ciadosaber,ef 7o ano,0.0
195,ciadosaber,ef 8o ano,0.0
196,ciadosaber,ef 9o ano,0.0
197,cmdpii,em 2a serie,0.0
198,cnslpb,ef 6o ano,0.0
199,cnslpb,ef 7o ano,0.0
200,cnslpb,ef 8o ano,0.0
201,cnslpb,ef 9o ano,0.0
202,cnslpb,em 1a serie,0.0
203,cnslpb,em 2a serie,0.0
204,cnslpb,em 3a serie,0.0
205,cognitivo,0,0.0
206,colegioalphaunis,0,0.0
175,ceprimeiromundo,ef 1o ano,0.0
174,ceprimeiromundo,0,0.0
173,cem,em 3a serie,0.0
156,ceespacolivre,ef 6o ano,0.0
142,cbpdigital,ef 8o ano,0.0
143,cbpdigital,ef 9o ano,0.0
144,ceabb,ef 3o ano,0.0
145,ceabb,ef 4o ano,0.0
146,ceabb,ef 5o ano,0.0
147,ceabb,ef 6o ano,0.0
148,ceabb,ef 7o ano,0.0
149,ceabb,ef 8o ano,0.0
150,ceabb,ef 9o ano,0.0
151,cecbdf,em 1a serie,0.0
152,cecbdf,em 2a serie,0.0
153,cecbdf,em 3a serie,0.0
154,ceespacolivre,0,0.0
155,ceespacolivre,ef 5o ano,0.0
157,ceespacolivre,ef 7o ano,0.0
172,cem,em 2a serie,0.0
