,namespace,Nº de AAs copiadas da estante mágica e aplicada,Início da classificação / Visualizações do relatório,Finalização da classificação / Início da classificação,Finalização da classificação / Visualizações do relatório,Porcentagem de visualização dos relatórios de AD,Porcentagem de professores que visualizaram relatórios de AD,Porcentagem de administradores que visualizaram relatórios de AD,Nº de exercícios em relatórios de AD / exercícios disponibilizados,Média de exercícios em relatórios de AD por turma,Média
154,msofia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,evangelicobebedouro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,mundialcc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,mupi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,mutiraodesaomarcos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,nageljewishacademy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,newtonpaiva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,nextgestor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,kiujo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,kijuj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,nilip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,khanacademy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,marcosfreitas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,libanobrasileiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,liceufranco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,kerygma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,liceusalesiano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,kepler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,jpathias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,lidera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,linkandlearn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,liviacarneiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,leme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,lucasmadsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,llesser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,logicareforcoescolar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,objetivosjc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,objetivogurupi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,objetivoguaxupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,mathmind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,losango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,marcelinasbotucatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,madretereza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,magna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,madresavina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,marinanascimento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,machadodeassispicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,maristacentronorte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,maristacolatina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,maristajoaopauloii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,manoelpereira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,masterbezerra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,masternatal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,kl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,mov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,novooriente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,nsaparecida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,abb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,nsdosagradocoracao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,kzdireitodigital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,nsressureicao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,novoemlasalle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,lavraguedes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,lapisnamao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,lamark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,lagracia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,labatualidades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,escolazeferino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,ifaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,evangelicoce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,universidademetodistasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,usj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,vaivaivaivaivai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,vanessaramos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,vencermelhor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,vetorbrasil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,viadeacesso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,santissimosenhor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,stellamaris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,soueducativa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
