,namespace,Semana,Porcentagem de visualização de relatórios de AA
277,atmo,25,0.0
278,atmo,27,0.0
279,atmo,28,0.0
280,atmo,29,0.0
281,atmo,30,0.0
282,atmo,32,0.0
283,atmo,33,0.0
284,atmo,34,0.0
285,atmo,35,0.0
286,augustolaranja,23,0.0
287,augustolaranja,24,0.0
288,augustolaranja,25,0.0
289,augustolaranja,27,0.0
290,augustolaranja,28,0.0
291,augustolaranja,29,0.0
292,augustolaranja,30,0.0
293,augustolaranja,32,0.0
294,augustolaranja,33,0.0
295,augustolaranja,34,0.0
296,augustolaranja,35,0.0
297,avaliacaoapogeu,23,0.0
298,avaliacaoapogeu,24,0.0
299,avaliacaoapogeu,25,0.0
300,avaliacaoapogeu,26,0.0
301,avaliacaoapogeu,28,0.0
302,avaliacaoapogeu,29,0.0
303,avaliacaoapogeu,31,0.0
304,avaliacaoapogeu,32,0.0
305,avaliacaoapogeu,34,0.0
306,bahema,23,0.0
307,bahema,24,0.0
308,bahema,25,0.0
309,bahema,27,0.0
310,bahema,28,0.0
311,bahema,29,0.0
312,bahema,30,0.0
313,bahema,32,0.0
314,bahema,33,0.0
315,bahema,34,0.0
316,bahema,35,0.0
317,beityaacov,23,0.2631578947368421
318,beityaacov,24,0.0
319,beityaacov,25,0.0
320,beityaacov,27,0.0
321,beityaacov,28,0.0
322,beityaacov,29,0.0
323,beityaacov,30,0.0
324,beityaacov,32,0.0
325,beityaacov,33,0.0
326,beityaacov,34,0.0
327,beityaacov,35,0.0
328,benjaminconstant,23,0.0
329,benjaminconstant,24,0.0
330,benjaminconstant,25,0.0
331,benjaminconstant,27,0.0
332,benjaminconstant,28,0.0
333,benjaminconstant,29,0.0
334,benjaminconstant,30,0.0
335,benjaminconstant,32,0.0
336,benjaminconstant,33,0.0
337,benjaminconstant,34,0.0
338,benjaminconstant,35,0.0
339,bertelsmann,23,0.0
340,bertelsmann,24,0.0
341,bertelsmann,25,0.0
342,bertelsmann,26,0.0
343,bertelsmann,27,0.0
344,bertelsmann,28,0.1
345,bertelsmann,31,0.0
346,bertelsmann,32,0.0
347,bertelsmann,33,0.0
348,bertelsmann,35,0.0
349,blueschooleducacional,23,0.0
350,blueschooleducacional,24,0.0
351,blueschooleducacional,25,0.0
