,namespace,Semana,Número de AAs por turma
246,cnslpb,30,0.3181818181818182
247,cnslpb,31,1.75
248,cnslpb,32,1.3
249,cnslpb,33,1.0
250,cnslpb,34,2.0
251,cnslpb,35,1.2
252,cognitivo,32,1.0
253,colegioalphaunis,24,2.4285714285714284
254,colegioalphaunis,25,2.4545454545454546
255,colegioalphaunis,26,2.125
256,colegioalphaunis,27,1.2
257,colegioalphaunis,33,2.4
258,colegioalphaunis,34,1.1428571428571428
259,colegioanchietai,33,0.75
260,colegioanchietai,34,1.5
261,colegioanchietaii,33,0.6
262,colegioanchietaii,34,1.5
263,colegioarena,23,2.8333333333333335
264,colegioarena,24,1.7272727272727273
265,colegioarena,25,1.0
266,colegioarena,31,0.5
267,colegioarena,32,1.25
268,colegioarena,33,3.3333333333333335
269,colegioarena,34,2.6666666666666665
270,colegioarena,35,3.0
271,colegiobatistaindependente,23,1.0
272,colegiobatistaindependente,24,1.8333333333333333
273,colegiobatistaindependente,25,5.0
274,colegiobatistaindependente,26,2.95
275,colegiobatistaindependente,27,2.5
276,colegiobatistaindependente,28,1.1428571428571428
277,colegiobatistaindependente,32,1.0
278,colegiobatistaindependente,33,2.1666666666666665
279,colegiobatistaindependente,34,4.769230769230769
280,colegiobatistaindependente,35,1.0
281,colegiobetelbrasileirosp,23,0.9761904761904762
282,colegiobetelbrasileirosp,24,1.0
283,colegiobetelbrasileirosp,25,1.0
284,colegiobetelbrasileirosp,31,1.0
285,colegiobetelbrasileirosp,32,3.727272727272727
286,colegiobetelbrasileirosp,33,1.588235294117647
287,colegiobetelbrasileirosp,34,1.5714285714285714
288,colegiobetelbrasileirosp,35,1.0
289,colegiobianguloiv,33,0.2727272727272727
290,colegiobianguloiv,34,0.6666666666666666
291,colegiobilac,23,4.0
292,colegiobilac,24,2.9
293,colegiobilac,29,1.3333333333333333
294,colegiobilac,30,4.0
295,colegiobilac,31,2.0
296,colegiobilac,32,1.2
297,colegiobilac,33,1.0
298,colegiobilac,34,1.8571428571428572
299,colegiobilac,35,1.3333333333333333
300,colegiobrasilia,23,2.4107142857142856
301,colegiobrasilia,24,2.4313725490196076
302,colegiobrasilia,25,1.2142857142857142
303,colegiobrasilia,26,0.6
304,colegiobrasilia,27,0.3333333333333333
305,colegiobrasilia,30,0.2857142857142857
306,colegiobrasilia,31,1.7419354838709677
307,colegiobrasilia,32,1.7857142857142858
308,colegiobrasilia,33,1.9130434782608696
309,colegiobrasilia,34,1.8076923076923077
310,colegiobrasilia,35,1.9615384615384615
311,colegiocb,23,3.5384615384615383
312,colegiocb,24,3.7777777777777777
313,colegiocb,25,1.0
314,colegiocb,26,1.0
315,colegiocb,27,0.5
316,colegiocb,30,0.6666666666666666
317,colegiocb,31,1.15
318,colegiocb,32,1.375
