,namespace,Semana,numero_ex
588,cursosazambuja,30,50.142857142857146
818,nucleocriativo,24,50.1
429,colegiojoaopaulo,25,50.083333333333336
683,fleming,33,50.0
682,fleming,31,50.0
757,macvest,32,50.0
558,cursobase,24,50.0
557,cursinhoeach,25,50.0
944,physicsbatistacampos,26,50.0
559,cursobase,25,50.0
76,acessosantafelicidade,23,49.90909090909091
11,acessoboqueirao,23,49.8
1023,porto,33,49.73913043478261
45,acessofazendariogrande,24,49.42857142857143
449,colegiomundial,29,49.333333333333336
574,cursoisfera,31,49.333333333333336
80,acessosantafelicidade,27,49.285714285714285
470,colegiopremium,31,49.0
648,elitecuritibaemilianoperneta,31,49.0
817,nucleocriativo,23,48.9
870,overmarciliofurtado,23,48.75
585,cursosazambuja,27,48.666666666666664
506,colegioup,24,48.53333333333333
912,overzonanorte,26,48.23076923076923
624,educandarioterciocorreia,24,48.142857142857146
1097,psantagema,30,48.0
1210,stellamarisxaxim,24,47.8235294117647
1201,stellamarisjuveve,26,47.04347826086956
328,colegiodasamericas,27,47.0
1064,progressaodc,31,47.0
379,colegioflamingo,34,46.5
26,acessocampolargo,25,46.375
568,cursoisfera,25,46.25
291,colegiobilac,23,46.0
592,cursosazambuja,35,45.916666666666664
798,master,34,45.865671641791046
994,poliedropv,25,45.75
992,poliedropv,23,45.75
542,crb,31,45.627450980392155
77,acessosantafelicidade,24,45.55555555555556
123,amadeus,24,45.54838709677419
254,colegioalphaunis,25,45.45454545454545
1,acessoalmirantetamandare,24,45.42857142857143
825,objetivolorena,24,45.42857142857143
116,aescobjetivo,31,45.34782608695652
1042,prismapatrocinio,33,45.31578947368421
391,colegioglobal,24,45.25
430,colegiojoaopaulo,26,45.1578947368421
84,acessosantafelicidade,33,45.142857142857146
563,cursoenfase,25,45.0
1171,souhabilis,23,45.0
1172,souhabilis,24,45.0
1173,souhabilis,25,45.0
1179,souhabilis,33,45.0
578,cursoleopoldo,32,45.0
1181,souhabilis,35,45.0
579,cursoleopoldo,34,45.0
851,overabelcabral,34,45.0
714,integradaeducativa,24,45.0
1175,souhabilis,29,45.0
294,colegiobilac,30,44.8
1187,spdacruz,32,44.78378378378378
469,colegiopremium,26,44.57142857142857
1076,progressaoig,31,44.5
8,acessoalmirantetamandare,33,44.25
245,cnslpb,28,44.0
206,ceespacolivre,34,44.0
654,equipe,34,44.0
1211,stellamarisxaxim,25,43.75
635,einsteinassis,23,43.714285714285715
4,acessoalmirantetamandare,27,43.666666666666664
907,overpontanegra,34,43.4375
545,crb,34,43.42857142857143
1034,prismapatrocinio,24,43.09090909090909
989,poliedro,32,43.0
1022,porto,32,42.904761904761905
104,adrianochan,31,42.8955223880597
308,colegiobrasilia,33,42.82608695652174
100,adrianochan,23,42.75735294117647
416,colegiointegral,24,42.71875
1229,universitariolondrina,29,42.6
392,colegioglobal,25,42.5
1130,santamariacn,30,42.5
423,colegiointegral,32,42.388888888888886
1033,prismapatrocinio,23,42.35
420,colegiointegral,29,42.282051282051285
344,colegioecursoprogressao,25,42.15384615384615
967,physicsumarizal,26,42.0
29,acessocampolargo,30,42.0
841,overabelcabral,24,42.0
1200,stellamarisjuveve,25,41.9
1012,portinari,33,41.78378378378378
465,colegioplanck,35,41.333333333333336
87,acessosjpinhais,23,41.23529411764706
873,overmarciliofurtado,26,41.142857142857146
537,crb,23,41.1
88,acessosjpinhais,24,41.06666666666667
925,physicsalcindocacela,25,41.0
796,master,32,40.92307692307692
594,deltaeducacional,23,40.75
478,colegioser,34,40.666666666666664
899,overpontanegra,24,40.666666666666664
596,deltaeducacional,25,40.5
404,colegioiguatemy,23,40.416666666666664
301,colegiobrasilia,24,40.27450980392157
199,ceespacolivre,24,40.266666666666666
300,colegiobrasilia,23,40.25
106,adrianochan,33,40.19211822660098
86,acessosantafelicidade,35,40.0
