,namespace,Semana,Porcentagem de engajamento em AAs,Número de AAs por turma,Média de exercícios de AA por turma,Tempo de correção por aluno por questão,Tempo médio entre criação e publicação de AA por questão,Tempo médio entre publicação e ínicio de AA,Porcentagem de visualização de relatórios de AA,Porcentagem de relatórios de AA visualizados por docente
62,integradaeducativa,23.0,0.986470588235294,2.6,28.4,0 days 01:35:30.236900777,0 days 00:14:08.248400576,1 days 08:59:36.277259025,0.7105970952124798,1.0
63,brasilcursinhos,27.0,0.986013986013986,0.5,90.0,0,0 days 00:00:23.566245833,0 days 00:46:07.770430,0.1608391608391608,1.0
64,colegioglobal,25.0,0.9855353677897336,1.6666666666666667,42.5,0 days 00:45:36.381617,0 days 00:19:54.685402679,1 days 12:52:03.976881,0.6294416243654822,0.6666666666666666
65,colegioensitec,29.0,0.9855047748976808,1.5833333333333333,25.416666666666668,0 days 00:27:29.287577,0 days 00:24:24.779682300,13 days 23:39:30.592515368,0.7851063829787234,0.9333333333333332
66,colegiobrasilia,31.0,0.9848183404242294,1.7419354838709675,31.61290322580645,0,0 days 00:01:05.722761779,4 days 13:26:50.822817648,0.4952753339850114,0.7652116402116401
67,colegioflamingo,24.0,0.9844451091833682,4.166666666666667,50.333333333333336,0 days 00:03:13.098180500,0 days 00:01:21.814736398,1 days 04:48:55.637312400,0.5106382978723404,1.0
68,integradaeducativa,24.0,0.9842563958391904,4.588235294117647,45.0,0 days 02:48:32.119810750,0 days 12:13:15.637931206,2 days 05:30:28.311953371,0.6524112829845314,0.9934640522875816
69,integradaeducativa,25.0,0.9839018009860148,2.7333333333333334,21.933333333333334,0 days 03:42:56.041997750,0 days 00:02:47.435047160,2 days 00:27:52.266591463,0.7579493835171967,1.0
70,colegiofuturageracao,34.0,0.9836065573770492,1.75,17.0,0 days 00:46:43.612111500,0 days 00:21:50.047745546,1 days 19:34:05.729413285,0.7619047619047619,0.9166666666666666
71,colegioup,31.0,0.9833333333333332,1.0,1.0,0,12 days 19:27:02.252985666,0 days 03:53:11.874349,0.7833333333333333,0.0
72,santamariacn,29.0,0.9832402234636872,0.75,67.5,0,0 days 05:11:07.198282444,16 days 12:23:39.911281,0.6927374301675978,0.875
73,integradaeducativa,29.0,0.9831932773109244,1.0,6.0,0,0 days 00:00:28.323780610,12 days 09:07:53.437639333,0.361344537815126,1.0
74,colegiobilac,29.0,0.9829821717990276,1.3333333333333333,14.0,0 days 00:43:36.428138,0 days 01:02:27.467050722,4 days 12:08:01.677399,0.3004291845493562,0.8055555555555557
75,progressaoig,31.0,0.9827745878866456,2.1666666666666665,44.5,0,0 days 00:05:43.900635523,3 days 18:04:14.516162769,0.7662037037037037,0.775
76,colegioup,33.0,0.9825147852918488,0.8888888888888888,17.333333333333332,0,0 days 15:13:11.353885887,0 days 08:43:27.792272250,0.5057471264367817,0.0897435897435897
77,progressaoig,27.0,0.9819985304922852,2.1666666666666665,21.83333333333333,0 days 13:46:17.481051,0 days 00:04:28.842567661,3 days 08:25:40.832524615,0.7632850241545893,0.7708333333333334
78,educandarioterciocorreia,25.0,0.9817142857142858,2.2857142857142856,25.0,0 days 02:29:54.462497727,0 days 00:04:08.686393063,2 days 01:16:00.175616062,0.60625,0.9761904761904762
79,colegiobrasilia,32.0,0.981609794217244,1.7857142857142858,29.976190476190474,0 days 01:20:05.682933,0 days 00:01:16.102954811,3 days 09:50:08.075789320,0.4981081081081081,0.8137860082304527
80,colegioeducallis,33.0,0.981228490979247,0.7631578947368421,19.55263157894737,0 days 04:59:49.737679428,0 days 03:04:40.561533469,1 days 14:18:03.273876517,0.1504297994269341,0.6555555555555554
81,amadeus,32.0,0.9810288721179812,0.7222222222222222,20.61111111111111,4 days 13:25:54.416679800,0 days 00:00:47.027092556,2 days 07:24:58.141677230,0.8214285714285714,1.0
82,integradaeducativa,30.0,0.980147620259608,0.5625,9.875,0,1 days 08:31:40.158414744,1 days 19:57:19.883973111,0.625,0.9375
83,colegioflamingo,34.0,0.9797891036906854,3.8333333333333335,46.5,0 days 02:20:30.537488,0 days 00:01:12.828293291,1 days 05:52:28.097916739,0.6990521327014217,1.0
84,ciadosaber,23.0,0.9792122538293216,3.1333333333333333,34.13333333333333,0,0 days 00:03:18.598923009,2 days 23:10:52.295496234,0.6861702127659575,0.7744565217391304
85,educandarioterciocorreia,23.0,0.9785714285714284,1.5,7.0,0 days 00:00:04.774771,0 days 00:00:25.247157777,0 days 12:51:24.799844666,0.8,0.5
86,colegioplanck,25.0,0.9781434983412476,0.75,29.166666666666668,0 days 05:13:56.008241666,0 days 00:02:50.895558411,2 days 05:10:47.028473388,0.5798525798525799,0.0
87,acessocampolargo,31.0,0.9779411764705882,1.0,7.0,0,0 days 03:55:38.908319874,3 days 17:49:08.089919833,0.9507389162561576,0.0
88,acessopinhais,31.0,0.9770114942528736,1.0,6.0,0,0 days 00:31:36.515466083,4 days 17:31:29.102360,0.9302325581395348,0.0
89,progressaoig,33.0,0.976911976911977,7.0,99.66666666666669,0 days 00:27:53.139634333,0 days 00:10:42.520001678,4 days 01:32:16.201790666,0.8311787072243346,0.9166666666666666
90,colegioiguatemy,24.0,0.9767441860465116,0.5,11.0,0,0 days 00:00:09.615121181,1 days 15:57:55.400126,0.9534883720930232,0.6666666666666666
91,psantagema,23.0,0.976470588235294,2.6666666666666665,16.333333333333332,0 days 10:15:27.217035,0 days 00:01:28.476413254,13 days 16:12:43.759703250,0.6363636363636364,0.6153846153846154
92,colegioeducallis,25.0,0.9760056457304164,0.7555555555555555,24.044444444444444,2 days 18:30:10.007053,0 days 01:09:23.218004381,1 days 08:27:13.183177235,0.6815476190476191,0.7077777777777777
93,pioxiicolegio,32.0,0.9758125472411188,1.6,34.3,0 days 01:49:30.111652,0 days 00:19:00.150817866,2 days 07:17:18.666767687,0.8428701180744778,0.8148148148148148
94,colegiointegral,23.0,0.9748082884646762,1.3142857142857145,28.314285714285717,0,0 days 00:01:41.460385371,3 days 14:33:56.102244847,0.7449118046132972,0.5026881720430108
95,spdacruz,32.0,0.973904036353916,2.621621621621621,44.78378378378378,0 days 08:33:35.780473404,0 days 00:22:05.114119323,5 days 04:21:44.398295587,0.7563419981208894,0.9526143790849672
96,santamariacn,27.0,0.9736078886310904,1.25,30.0,0,0 days 10:27:40.167921793,2 days 06:09:18.745111400,0.5523809523809524,0.6666666666666666
97,psantagema,25.0,0.9733806566104702,1.0833333333333333,10.166666666666666,1 days 13:20:40.217656,0 days 00:00:34.214047260,4 days 06:40:54.205298769,0.6635514018691588,0.1405555555555555
98,colegioeducallis,32.0,0.9730348960169192,0.85,20.95,1 days 21:25:25.687177909,0 days 05:35:23.568866306,0 days 23:30:55.344115147,0.6984126984126984,0.7946428571428571
99,educandarioterciocorreia,24.0,0.9719541616405308,4.0,48.142857142857146,0 days 08:15:13.289803250,0 days 00:01:56.065265932,0 days 19:16:54.294372035,0.5735294117647058,0.9629629629629632
100,colegiouniverso,23.0,0.9718154186239292,2.0,104.25,0,0 days 00:01:24.096797867,6 days 05:53:15.123618625,0.8226164079822617,0.3916666666666666
101,pioxi,24.0,0.9714552881539446,1.48,30.06,0 days 01:08:14.106193444,0 days 05:36:07.472439129,2 days 18:20:52.513085513,0.7546437482672581,0.7317857142857142
102,colegiofuturageracao,32.0,0.9713774597495528,2.571428571428572,22.0,0 days 00:43:50.245384900,0 days 00:00:50.370791566,13 days 02:46:18.440376722,0.7534246575342466,1.0
103,colegiocb,23.0,0.97123373569525,3.5384615384615383,36.38461538461539,0 days 00:01:32.107539,0 days 00:01:44.853949458,3 days 05:16:40.126404521,0.7193263833199679,0.925595238095238
104,colegiointegral,35.0,0.9711935947086724,1.206896551724138,28.58620689655172,0,0 days 00:00:52.610533505,2 days 11:06:19.490975800,0.4767628205128205,0.229059829059829
105,overlimaesilva,33.0,0.9710982658959536,1.4285714285714286,14.285714285714286,0,0 days 00:00:32.273473700,3 days 17:55:44.599305300,0.8497109826589595,0.9166666666666666
106,colegioalphaunis,33.0,0.9706498951781972,2.4,54.0,0 days 01:35:02.191421,0 days 01:20:00.407400068,3 days 17:59:49.223438291,0.8012108980827447,0.5535087719298245
107,colegiointegral,26.0,0.9705882352941176,0.3333333333333333,10.0,0,0 days 00:00:37.158503900,23 days 16:49:45.911807,0.8017241379310345,0.8
108,colegiocb,35.0,0.9703017915113624,2.1875,21.0,0 days 01:10:09.325083200,0 days 00:06:05.072379486,1 days 13:25:43.758097428,0.4366359447004608,0.7716450216450216
109,colegiocb,32.0,0.9702452754322476,1.375,13.0,0 days 00:02:40.342041,0 days 00:00:08.582791521,18 days 14:57:00.469601727,0.6412213740458015,1.0
110,santamariacn,32.0,0.9692307692307692,0.5,35.0,0,0 days 05:33:55.011966885,0 days 13:04:09.037815,0.8,1.0
111,educandarioterciocorreia,26.0,0.9691428571428572,2.2857142857142856,24.857142857142858,0 days 07:15:14.384684545,0 days 00:02:45.914247196,0 days 14:03:46.746470,0.4367088607594936,1.0
112,portinari,32.0,0.9690154211150652,0.4838709677419355,19.451612903225808,0 days 00:20:30.257419666,0 days 03:31:03.763292697,2 days 00:29:53.311417666,0.7272727272727273,0.8541666666666666
113,integra,24.0,0.9685106382978724,2.0,16.6,0 days 06:46:45.719198,0 days 03:12:19.910080530,8 days 12:48:45.896683600,0.75,1.0
114,colegioup,23.0,0.9682539682539684,0.8,35.333333333333336,0 days 01:55:24.203001500,0 days 07:03:15.452546502,3 days 08:51:29.220296166,0.7152542372881356,0.3796296296296296
115,santamariacn,30.0,0.968054211035818,0.5,42.5,0,0 days 02:36:04.846737477,8 days 06:40:59.432650500,0.8032786885245902,0.3333333333333333
116,colegioplanck,35.0,0.9668874172185432,2.6666666666666665,41.333333333333336,0,0 days 00:00:31.029879931,0 days 21:17:39.491080375,0.71875,0.0
117,acessohauer,32.0,0.9667994687915008,1.0,11.5,0,0 days 02:09:50.760508325,3 days 08:51:24.458267500,0.729064039408867,1.0
118,colegioflamingo,35.0,0.9662921348314608,1.3333333333333333,8.333333333333334,0,0 days 00:00:19.242108854,0 days 09:04:03.464054500,0.2142857142857142,1.0
119,acessohauer,27.0,0.9662095984329088,1.1666666666666667,12.75,0 days 02:05:01.319668,0 days 02:30:19.194904727,1 days 04:22:48.436519857,0.8045738045738046,1.0
120,acessocampolargokids,32.0,0.9660377358490566,0.5714285714285714,9.428571428571429,0,0 days 12:30:40.349314544,0 days 03:42:56.102411250,0.3103448275862069,1.0
121,colegiocb,34.0,0.9660116302386204,2.6,24.933333333333334,0 days 00:19:25.752199600,0 days 00:01:23.869592812,3 days 00:01:36.725554820,0.5888568683957733,0.7857142857142858
122,colegioiguatemy,23.0,0.9655172413793104,1.3333333333333333,40.41666666666666,0 days 00:00:30.665487,0 days 00:00:49.045405477,3 days 18:35:24.970839875,0.8806818181818182,0.5147579693034238
123,integra,23.0,0.9655172413793104,5.0,30.0,0,0 days 01:42:01.991903233,6 days 03:39:32.251727400,0.9448275862068966,1.0
124,acessohauer,31.0,0.9654676258992806,0.8333333333333334,8.75,0 days 01:38:06.635639250,0 days 06:42:13.535583791,2 days 05:07:46.120474,0.7012578616352201,1.0
125,colegiodasamericas,24.0,0.9654228004108182,2.642857142857143,17.357142857142858,0 days 13:05:04.037421235,0 days 00:18:02.850040209,6 days 22:51:48.798067446,0.9273115980758952,0.8077651515151515
126,colegioeducallis,35.0,0.9651980747871158,1.088235294117647,25.97058823529412,0 days 03:27:59.041734,0 days 02:18:56.918309617,0 days 21:30:32.522348378,0.044776119402985,0.3055555555555556
127,integradaeducativa,27.0,0.965034965034965,0.4,10.0,0,0 days 00:00:31.357856900,27 days 19:03:13.776691500,0.7202797202797203,1.0
128,colegiobatistaindependente,23.0,0.9649122807017544,1.0,7.2,0 days 15:08:48.668099666,0 days 00:10:33.673040374,1 days 16:37:39.739029,0.8478260869565217,1.0
129,colegioensitec,25.0,0.9639727361246349,1.0,5.142857142857143,0 days 00:11:18.398222,0 days 00:01:04.302385792,5 days 19:14:43.005390,0.7064676616915423,1.0
130,colegiointegral,29.0,0.9639304818578271,1.8974358974358971,42.282051282051285,0 days 02:26:07.306349,0 days 00:45:28.853614270,4 days 02:30:12.837806229,0.8893528183716075,0.540299823633157
131,colegioeducallis,31.0,0.9635416666666666,1.125,33.0,0 days 08:10:30.646516,0 days 07:40:19.613169954,0 days 16:05:05.570638777,0.6536312849162011,1.0
132,progressaoig,25.0,0.9631336405529954,1.2857142857142858,15.0,0,0 days 00:00:36.362988844,5 days 06:06:06.741068111,0.8647540983606558,0.8666666666666666
133,overlimaesilva,34.0,0.96242774566474,2.555555555555556,26.666666666666668,0,0 days 00:01:49.234597595,0 days 16:25:35.546263391,0.7601156069364162,0.9356060606060606
134,colegionovageracao,35.0,0.9620253164556962,1.0,17.5,0,0 days 00:00:12.136444295,0 days 17:08:37.700908,0.2111111111111111,0.0
135,colegiobrasilia,25.0,0.9604471195184868,1.2142857142857142,24.11904761904762,0,0 days 00:02:43.701101610,0 days 20:53:40.967554764,0.4507945358238082,0.6874999999999999
136,spdacruz,23.0,0.960119900951388,0.7857142857142857,12.714285714285714,0 days 06:20:29.066419333,0 days 04:25:28.571744360,6 days 17:42:08.271105318,0.6794871794871795,0.9444444444444444
137,integradaeducativa,32.0,0.9595959595959596,1.0,6.0,0 days 10:00:45.684323,1 days 08:20:00.064694010,0 days 08:26:34.547845375,0.5656565656565656,0.7678571428571429
138,colegiouirapuru,23.0,0.9595547102260014,1.7837837837837838,18.67567567567568,0,0 days 00:09:24.557347097,0 days 22:59:06.234899060,0.3868520859671302,0.8626984126984127
139,colegiobetelbrasileirosp,23.0,0.9594229035166816,0.9761904761904762,5.642857142857143,0 days 04:05:25.555437100,0 days 01:45:09.627585469,9 days 00:57:52.934156,0.783068783068783,0.9814814814814816
140,colegiobrasilia,24.0,0.9593689489889852,2.431372549019608,40.27450980392157,0,0 days 00:00:44.764125196,1 days 20:40:34.622187854,0.4665879176510293,0.8852941176470589
141,colegioeducallis,23.0,0.959328260299134,0.8805970149253731,17.044776119402986,1 days 03:25:07.327969370,0 days 06:03:13.090768967,1 days 09:57:15.888418881,0.7364505844845909,0.775268817204301
142,acessohauer,33.0,0.9587813620071683,0.8333333333333334,8.833333333333334,0 days 01:03:22.476793750,0 days 03:08:49.571884651,2 days 20:58:28.003985400,0.6289308176100629,1.0
143,cem,24.0,0.95850622406639,1.5,10.666666666666666,0,0 days 00:03:29.293224780,5 days 07:03:26.768625666,0.8368794326241135,0.95
144,colegioeducallis,34.0,0.9577617123014744,0.7884615384615384,31.173076923076923,0 days 06:29:24.526673500,0 days 08:42:53.950220894,1 days 13:04:55.310761024,0.0204081632653061,0.53125
145,colegioensitec,30.0,0.9567384370015948,2.272727272727273,16.363636363636363,0 days 00:18:08.530597,0 days 00:02:53.368159283,15 days 16:28:07.772046960,0.6689944134078212,1.0
146,overzonanorte,30.0,0.9565217391304348,1.0,5.0,0,0 days 00:00:12.237960,5 days 19:51:45.721561500,0.4130434782608695,0.5
147,acessosantafelicidade,31.0,0.9565063649222064,1.0,8.083333333333334,0 days 01:06:26.492872,0 days 02:35:49.159140680,4 days 08:05:21.448948416,0.7846153846153846,0.0
148,aescobjetivo,28.0,0.9563265306122448,0.3333333333333333,13.5,0,1 days 06:29:55.119098747,5 days 01:19:13.222401,0.912087912087912,1.0
149,ciadosaber,24.0,0.956140350877193,1.4,15.066666666666666,0,0 days 00:24:01.038777943,0 days 16:39:39.140888333,0.5057471264367817,0.8030303030303031
150,colegioalphaunis,34.0,0.9560675883256528,1.1428571428571428,19.428571428571427,0 days 00:02:49.506340,0 days 00:00:55.028599617,4 days 21:52:44.893877500,0.8205128205128205,1.0
151,stellamarisjuveve,32.0,0.9560626060720347,1.8,34.6,0,0 days 00:04:19.426705263,1 days 01:31:08.983705777,0.3702702702702702,0.1666666666666666
