,namespace,Semana,Porcentagem de relatórios de AA visualizados por docente
263,colegioeag,27,0.5
264,colegioeag,30,0.5714285714285714
265,colegioeag,33,1.0
266,colegioeag,34,1.0
267,colegioeag,35,0.0
268,colegioecursodesafio,23,0.7583307996351476
269,colegioecursodesafio,24,0.5769724556489263
270,colegioecursodesafio,25,0.6666666666666666
271,colegioecursodesafio,33,0.0
272,colegioecursodesafio,34,0.3333333333333333
273,colegioecursodesafio,35,0.23947105526052895
274,colegioecursoprogressao,23,0.9076858813700918
275,colegioecursoprogressao,24,0.9015625
276,colegioecursoprogressao,25,0.8421052631578947
277,colegioecursoprogressao,26,0.8952380952380953
278,colegioecursoprogressao,27,0.7888888888888889
279,colegioecursoprogressao,28,0.7894736842105263
280,colegioecursoprogressao,30,1.0
281,colegioecursoprogressao,31,0.8533834586466166
282,colegioecursoprogressao,32,0.7464285714285714
283,colegioecursoprogressao,33,0.8119047619047619
284,colegioecursoprogressao,34,0.8548644338118022
285,colegioecursoprogressao,35,0.7833333333333334
286,colegioeducallis,23,0.775268817204301
287,colegioeducallis,24,0.8275641025641026
288,colegioeducallis,25,0.7077777777777777
289,colegioeducallis,31,1.0
290,colegioeducallis,32,0.7946428571428571
291,colegioeducallis,33,0.6555555555555554
292,colegioeducallis,34,0.53125
293,colegioeducallis,35,0.3055555555555556
294,colegioensitec,23,0.9642857142857143
295,colegioensitec,24,1.0
296,colegioensitec,25,1.0
297,colegioensitec,28,1.0
298,colegioensitec,29,0.9333333333333333
299,colegioensitec,30,1.0
300,colegioensitec,31,0.96
301,colegioensitec,32,1.0
302,colegioensitec,33,0.75
303,colegioensitec,34,1.0
304,colegioensitec,35,1.0
305,colegioflamingo,23,0.0
306,colegioflamingo,24,1.0
307,colegioflamingo,25,0.9111111111111111
308,colegioflamingo,26,0.8571428571428571
309,colegioflamingo,32,1.0
310,colegioflamingo,33,0.7346938775510203
311,colegioflamingo,34,1.0
312,colegioflamingo,35,1.0
313,colegiofuturageracao,23,1.0
314,colegiofuturageracao,24,1.0
315,colegiofuturageracao,25,1.0
316,colegiofuturageracao,26,1.0
317,colegiofuturageracao,31,0.9
318,colegiofuturageracao,32,1.0
319,colegiofuturageracao,33,0.5961538461538461
320,colegiofuturageracao,34,0.9166666666666666
321,colegiofuturageracao,35,0.65
322,colegioglobal,23,0.9642857142857143
323,colegioglobal,24,0.566025641025641
324,colegioglobal,25,0.6666666666666666
325,colegioglobal,26,1.0
326,colegioglobal,29,0.0
327,colegioglobal,30,0.8333333333333333
328,colegioglobal,32,0.7685185185185186
329,colegioglobal,33,0.8777777777777778
330,colegioglobal,34,0.7999999999999999
331,colegioglobal,35,0.41666666666666663
332,colegioguilhermedealmeida,33,1.0
333,colegioguilhermedealmeida,34,1.0
334,colegioguilhermedealmeida,35,1.0
335,colegioiguatemy,23,0.5147579693034238
336,colegioiguatemy,24,0.6666666666666666
337,colegioiguatemy,25,0.6206349206349205
338,colegioiguatemy,26,0.8657407407407407
339,colegioiguatemy,27,1.0
340,colegioiguatemy,30,1.0
341,colegioiguatemy,31,0.9523809523809524
342,colegioiguatemy,32,0.9134199134199135
343,colegioiguatemy,33,0.8214285714285714
344,colegioiguatemy,34,0.4696969696969697
345,colegioiguatemy,35,0.025
346,colegiointegral,23,0.5026881720430108
347,colegiointegral,24,0.4807692307692308
348,colegiointegral,26,0.8
349,colegiointegral,27,0.3076923076923077
350,colegiointegral,28,0.6176470588235293
351,colegiointegral,29,0.540299823633157
352,colegiointegral,30,0.7005140692640693
353,colegiointegral,31,0.5685763888888888
354,colegiointegral,32,0.45669666590719216
355,colegiointegral,33,0.5597826086956521
356,colegiointegral,34,0.4128048780487804
357,colegiointegral,35,0.22905982905982908
358,colegiojoaopaulo,23,0.7616071428571428
359,colegiojoaopaulo,24,0.8361111111111111
360,colegiojoaopaulo,25,0.9761904761904762
361,colegiojoaopaulo,26,0.8622448979591837
362,colegiojoaopaulo,27,0.8861111111111111
363,colegiojoaopaulo,28,0.6373015873015874
364,colegiojoaopaulo,29,0.5
365,colegiojoaopaulo,30,0.6666666666666666
366,colegiojoaopaulo,31,0.7116666666666667
367,colegiojoaopaulo,32,0.8597222222222222
368,colegiojoaopaulo,33,0.8015238095238095
369,colegiojoaopaulo,34,1.0
370,colegiojoaopaulo,35,0.5666666666666667
371,colegiomagnum,24,0.0
372,colegiomagnum,35,0.0
373,colegiomartinus,23,0.0
374,colegionobre,30,1.0
375,colegionobre,34,1.0
376,colegionovageracao,35,0.0
377,colegiopremium,23,0.9411764705882353
378,colegiopremium,24,0.9466666666666665
379,colegiopremium,25,1.0
380,colegiopremium,26,0.9583333333333334
381,colegiopremium,31,0.625
382,colegiopremium,33,1.0
383,colegiopremium,35,0.0
384,colegioprogresso,28,0.0
385,colegioprogresso,29,0.0
386,colegioradar,33,0.0
387,colegiosantamaria,33,1.0
388,colegiosantamaria,34,0.5
389,colegioser,34,0.4
390,colegiosete,23,0.9194555444555446
391,colegiosete,24,0.9453463203463205
392,colegiosete,25,1.0
393,colegiosete,30,1.0
394,colegiosete,31,0.20833333333333331
395,colegiosete,32,0.8333333333333333
396,colegiosete,33,0.5083333333333333
397,colegiosete,34,0.0
398,colegiosete,35,0.0
399,colegiouirapuru,23,0.8626984126984127
400,colegiouirapuru,24,0.95625
401,colegiouirapuru,25,1.0
402,colegiouirapuru,26,1.0
403,colegiouirapuru,29,0.5
404,colegiouirapuru,31,1.0
405,colegiouirapuru,32,0.81875
406,colegiouirapuru,33,0.6015151515151516
407,colegiouirapuru,34,0.6111111111111112
408,colegiouirapuru,35,0.4
409,colegiouniverso,23,0.39166666666666666
410,colegiouniverso,24,0.8888888888888888
411,colegiouniverso,25,1.0
412,colegiouniverso,26,0.0
413,colegiouniverso,29,0.0
414,colegiouniverso,33,0.7000000000000001
415,colegioup,23,0.3796296296296296
416,colegioup,24,0.6921262893485115
417,colegioup,25,0.6411739693997758
418,colegioup,26,0.607620540379161
419,colegioup,27,0.5283730158730159
420,colegioup,28,0.5824481074481075
421,colegioup,31,0.0
422,colegioup,32,0.0
423,colegioup,33,0.08974358974358974
424,colegioup,34,0.0
425,colegioup,35,0.0
426,conexaosaber,23,0.8833333333333334
427,conexaosaber,24,1.0
428,conexaosaber,25,0.8511904761904763
429,conexaosaber,26,0.5
430,conexaosaber,33,0.78125
431,conexaosaber,34,0.5
432,conexaosaber,35,0.875
433,contemporaneo,31,0.6388888888888888
434,contemporaneo,32,0.5
435,contemporaneo,33,0.3333333333333333
436,contemporaneocidadeverde,28,0.75
437,contemporaneocidadeverde,31,0.8856209150326798
438,contemporaneocidadeverde,32,0.53875
439,contemporaneocidadeverde,33,0.7100340136054422
440,contemporaneocidadeverde,34,0.0
441,contemporaneocidadeverde,35,0.0
442,contemporaneolagoanova,30,1.0
443,contemporaneolagoanova,31,0.7552083333333333
444,contemporaneolagoanova,32,0.582936507936508
445,contemporaneolagoanova,33,0.85
446,contemporaneolagoanova,34,0.16666666666666666
447,contemporaneolagoanova,35,0.0
448,cparaiso,31,1.0
449,cparaiso,32,1.0
450,cparaiso,34,1.0
451,crescercampinas,23,0.875
452,crescercampinas,24,0.4444444444444444
453,crescercampinas,25,0.5833333333333333
454,crescercampinas,26,0.0
