,namespace,Semana,Porcentagem de engajamento em AAs
529,contemporaneolagoanova,30,0.9072847682119205
614,eccos,26,0.9037328094302554
389,colegioglobal,23,0.9032850064231969
17,acessoboqueirao,29,0.9024390243902439
493,colegiouirapuru,31,0.9024122807017544
349,colegioecursoprogressao,32,0.9023050369325564
722,invictus,23,0.9007717750826902
546,crescercampinas,23,0.9004242018307658
347,colegioecursoprogressao,30,0.9001766784452296
630,educandarioterciocorreia,35,0.9
1116,santamariacn,25,0.8996752075063154
393,colegioglobal,30,0.8990228013029316
422,colegiointegral,32,0.8985223353063918
485,colegiosete,33,0.8977272727272727
336,colegioeag,33,0.896551724137931
484,colegiosete,32,0.8962300816167897
481,colegiosete,29,0.8958333333333334
735,isem,25,0.8953261062733251
499,colegiouniverso,24,0.895164213731603
726,invictus,27,0.8939597315436242
873,overmarciliofurtado,32,0.893569844789357
401,colegioguilhermedealmeida,34,0.8934280639431617
863,overlimaesilva,35,0.8925233644859814
286,colegiobetelbrasileirosp,34,0.8923469387755102
483,colegiosete,31,0.891256569517439
530,contemporaneolagoanova,31,0.8906347424865944
626,educandarioterciocorreia,31,0.8904109589041096
115,aescobjetivo,30,0.8900394477317555
851,overjoaopessoa,32,0.8888888888888888
608,eacorcovado,31,0.8888888888888888
40,acessocampolargokids,31,0.8884955752212389
927,physicsalmirantebarroso,33,0.8879350250389261
1054,progressaodc,27,0.8877906976744186
776,mariliamattoso,27,0.887546468401487
635,einsteinassis,24,0.8855881172219991
506,colegioup,25,0.8854084949008181
536,crb,23,0.884805728124671
486,colegiosete,34,0.8844087896756191
1240,villalobos,30,0.88
742,itamarati,25,0.88
773,mariliamattoso,24,0.8799446658542209
361,colegioensitec,23,0.8788841807909604
83,acessosantafelicidade,32,0.8774603174603175
505,colegioup,24,0.8771563717306622
629,educandarioterciocorreia,34,0.8765670202507232
935,physicsbatistacampos,23,0.8762711864406779
478,colegiosete,23,0.8757257744599517
962,physicsumarizal,33,0.8745643187160574
1072,progressaoig,34,0.8743872549019608
372,colegioflamingo,23,0.8740926157697121
1003,portinari,30,0.8717089224768406
1021,portoseguro,35,0.8709761994931103
883,overmossoro,32,0.8700564971751412
490,colegiouirapuru,25,0.8697478991596639
882,overmossoro,31,0.8695652173913043
770,maplebearslz,34,0.8690355329949239
769,maplebearslz,33,0.8686868686868687
285,colegiobetelbrasileirosp,33,0.8686167575607338
627,educandarioterciocorreia,32,0.8666666666666667
12,acessoboqueirao,24,0.8664826798629616
1009,porto,23,0.8662760893445625
342,colegioecursoprogressao,24,0.8652001162903382
1004,portinari,31,0.8649241244013617
179,cats,29,0.8636363636363636
7,acessoalmirantetamandare,32,0.8621316842488177
999,portinari,26,0.8619084561675717
66,acessopinhais,24,0.8607078039927405
1016,porto,32,0.8603870142331681
871,overmarciliofurtado,30,0.8601398601398601
330,colegiodasamericas,33,0.8580645161290322
50,acessofazendariogrande,31,0.8579823702252694
1060,progressaodc,34,0.8571428571428571
183,cbpdigital,24,0.8569142215358697
6,acessoalmirantetamandare,31,0.8551933282789992
399,colegioguilhermedealmeida,32,0.855072463768116
369,colegioensitec,33,0.8549060542797495
367,colegioensitec,31,0.8546637744034707
424,colegiointegral,34,0.8531935800851621
729,invictus,33,0.8529326784166426
309,colegiobrasilia,35,0.8527489104927924
351,colegioecursoprogressao,34,0.8500182016745541
976,pioxiicolegio,35,0.85
648,elitecuritibaemilianoperneta,32,0.8492569002123143
903,overzonanorte,23,0.8461829462056443
93,acessosjpinhais,29,0.8461538461538461
81,acessosantafelicidade,30,0.8461538461538461
618,eccos,34,0.8458002507312996
314,colegiocb,27,0.8448275862068966
1108,saberviver,32,0.8446601941747572
1051,progressaodc,24,0.8412090251170711
692,idaam,33,0.8405172413793104
348,colegioecursoprogressao,31,0.8399486007995431
634,einsteinassis,23,0.8393393393393394
963,physicsumarizal,34,0.8388888888888889
396,colegioglobal,34,0.8383862497015995
455,colegioplanck,24,0.8372248165443629
952,physicsconselheirofurtado,33,0.8372093023255814
1053,progressaodc,26,0.8368869936034116
760,magister,32,0.8360716952949963
771,maplebearslz,35,0.8347107438016529
164,casdinhosjc,24,0.8343163538873994
122,amadeus,23,0.8342075256556443
1093,psantagema,35,0.8333333333333334
693,idaam,34,0.8318965517241379
1052,progressaodc,25,0.8304093567251462
94,acessosjpinhais,30,0.8297872340425532
421,colegiointegral,31,0.8294077603812117
20,acessoboqueirao,32,0.8283532901241349
691,idaam,23,0.8275862068965517
447,colegiomundial,28,0.8260869565217391
302,colegiobrasilia,26,0.825
1015,porto,31,0.8235294117647058
1127,santoamerico,23,0.8227794305142372
503,colegiouniverso,33,0.8222782681799076
307,colegiobrasilia,33,0.8221725018119939
315,colegiocb,30,0.8220338983050848
1128,santoamerico,24,0.821110068059141
1063,progressaoig,24,0.8188235294117647
70,acessopinhais,30,0.8181818181818182
820,objetivolorena,24,0.8150221143684684
790,master,28,0.8144235186035829
768,maplebearslz,32,0.8142759328996919
767,maplebearslz,31,0.8117839607201309
1224,universobarcarena,23,0.8116918718874218
763,maplebearslz,24,0.8085808580858086
668,escolamaster,24,0.8082191780821918
51,acessofazendariogrande,32,0.8079407806191117
886,overmossoro,35,0.8078994614003591
1178,spdacruz,35,0.80625
362,colegioensitec,24,0.806070826306914
273,colegiobatistaindependente,26,0.8060135790494666
308,colegiobrasilia,34,0.8058540723981901
346,colegioecursoprogressao,28,0.8052490805750585
612,eccos,24,0.804932735426009
31,acessocampolargo,32,0.8047546788062722
733,isem,23,0.8043758043758044
45,acessofazendariogrande,24,0.8009950248756219
1062,progressaoig,23,0.7984150569588906
1050,progressaodc,23,0.7980743514308639
267,colegioarena,33,0.7964726631393299
417,colegiointegral,27,0.7962555066079295
180,cats,30,0.7954545454545454
555,crescercampinas,35,0.7951640759930916
1028,prismapatrocinio,25,0.7951315604333755
466,colegiopremium,24,0.7949098097356067
928,physicsalmirantebarroso,34,0.7942708333333334
869,overmarciliofurtado,28,0.7929447852760736
548,crescercampinas,25,0.7922184460330481
854,overjoaopessoa,35,0.7915057915057915
897,overpontanegra,29,0.7888888888888889
953,physicsconselheirofurtado,34,0.7885835095137421
114,aescobjetivo,29,0.7876146788990825
975,pioxiicolegio,34,0.7863397548161121
792,master,31,0.7832165899890855
1241,villalobos,31,0.7828322784810127
338,colegioecursodesafio,23,0.7782486584081448
150,beityaacov,23,0.7777777777777778
110,aescobjetivo,24,0.7758251577712828
774,mariliamattoso,25,0.7740040513166779
554,crescercampinas,34,0.7731338149294805
143,apogeustoantonio2,28,0.7727272727272727
607,eacorcovado,25,0.7716049382716049
839,overabelcabral,28,0.7707317073170732
669,escolamaster,25,0.7684279191128506
