,namespace,Unnamed: 0,Porcentagem de professores que visualizaram relatórios de AD
929,acessocampolargo,38,0.0
930,acessoalmirantetamandare,40,0.0
931,acesso,18,0.0
932,academiaboaviagem,2,0.0
933,abm,5,0.0
934,abiliomartins,21,0.0
935,abdiasmartins,29,0.0
936,adventistasjrp,2,0.0
937,adventus,4,0.0
938,aeai,1,0.0
939,aees,1,0.0
940,anchieta,29,0.0
941,anaoliveira,3,0.0
942,amaisteste,13,0.0
943,amais,787,0.0
944,amadeus,116,0.0
945,alua,3,0.0
946,altopadraocuritiba,2,0.0
947,alphabc,2,0.0
948,alphaacompanhamento,4,0.0
949,alfredocastro,1,0.0
950,alfeurosa,21,0.0
951,alfacembilingue,2,0.0
952,albertsabin,2,0.0
953,albertocabral,4,0.0
954,aja,17,0.0
955,aguiasdosaber,1,0.0
956,agoramath,1,0.0
957,arp,1,0.0
958,arvoredelivros,1,0.0
959,ceatt,1,0.0
960,campossalles,87,0.0
961,carmounai,1,0.0
962,carlosvasconcelos,1,0.0
963,carlossantis,1,0.0
964,carlamarianad,3,0.0
965,cappta,8,0.0
966,capellakids,1,0.0
967,capacitacaoinspira,3,0.0
968,cantinhodosaber,1,0.0
969,camposalles,1,0.0
970,brasilcursinhos,160,0.0
971,campeia,1,0.0
972,camp,6,0.0
973,caminhar,3,0.0
974,cambauba,1,0.0
975,cam,14,0.0
976,cadern,2,0.0
977,caataua,2,0.0
978,brunorezende,1,0.0
979,carpediem,1,0.0
980,casdinhosjc,121,0.0
981,castelobruxo,3,0.0
982,castelodeeducacao,1,0.0
983,ceadsp,3,0.0
984,ceads,1,0.0
985,ceabb,12,0.0
986,cdi,9,0.0
987,cdb,3,0.0
988,cci,6,0.0
989,ccdivitoriaregia,3,0.0
990,cbpdigital,47,0.0
991,cbic,1,0.0
992,cbbrasileiro,1,0.0
993,cbatistanovasiao,18,0.0
994,cbas,3,0.0
995,cav,1,0.0
996,caur,6,0.0
997,cats,37,0.0
998,catarinense,3,0.0
999,catamaravita,20,0.0
1000,brasilis,1,0.0
1001,bragaenglish,1,0.0
1002,associacaoguararapes,1,0.0
1003,avcav,1,0.0
1004,barraazul,10,0.0
1005,baraodemaua,35,0.0
1006,bancoeduqo,1,0.0
1007,bancodequestoesgratuito,1,0.0
1008,bancodequestoes,2,0.0
1009,bahema,2,0.0
1010,babyhouse,4,0.0
1011,babycamp,3,0.0
1012,avaliacaoapogeu,1,0.0
1013,bosquemananciais,1,0.0
1014,auxiliadorarj,2,0.0
1015,autores,27,0.0
1016,augustolaranja,1,0.0
1017,aubrick,4,0.0
1018,atmo,1,0.0
1019,athenasequipe,1,0.0
1020,ateneulondrina,7,0.0
1021,associacaomariecurie,43,0.0
1022,batistaagnusdei,1,0.0
1023,batistadaprimeira,1,0.0
1024,batistaibicui,2,0.0
1025,batistaindependente,2,0.0
1026,borapassar,17,0.0
1027,bonneidee,1,0.0
1028,bomjesus,5,0.0
1029,boaviagem,55,0.0
1030,blueschooleducacional,15,0.0
1031,betesda,2,0.0
1032,bertelsmann,66,0.0
1033,bernardosayao,19,0.0
1034,benjamitacardona,13,0.0
1035,benjaminconstant,4,0.0
1036,batistavistaalegre,2,0.0
1037,batistashalon,2,0.0
1038,batistasaovicente,2,0.0
1039,batistariopretense,3,0.0
1040,batistaregular,2,0.0
1041,batistanovasiao,2,0.0
1042,batistamaranata,3,0.0
1043,colegioitamarati,1,0.0
1044,colegiojk,33,0.0
1045,colegiolamarck,2,0.0
1046,eeheitor,2,0.0
1047,eletron,2,0.0
1048,eldapereira,11,0.0
1049,ejjg,1,0.0
1050,einsteinassis,24,0.0
1051,eibedica,1,0.0
1052,egocg,2,0.0
1053,eeplbaixo,1,0.0
1054,eepensareagir,1,0.0
1055,eeejds,1,0.0
1056,educaprime,7,0.0
1057,eeagm,1,0.0
1058,eeacg,1,0.0
1059,eduqualis,13,0.0
1060,eduqo,2,0.0
1061,eduhub21,2,0.0
1062,educmaria,1,0.0
1063,educglauberrocha,1,0.0
1064,educardpaschoal,1,0.0
1065,elev,21,0.0
1066,elitecuritiba,34,0.0
1067,elitecuritibaemilianoperneta,42,0.0
1068,elmira,1,0.0
1069,erasmobraga,2,0.0
1070,eraldogomes,1,0.0
1071,equipea,23,0.0
1072,ensinoteclondrina,3,0.0
1073,ensinando,83,0.0
1074,ensg,1,0.0
1075,enovoalvo,2,0.0
1076,engenhomoscou,4,0.0
1077,emovi,3,0.0
1078,emilianocristo,2,0.0
1079,emiliaferreiro,3,0.0
1080,emece,3,0.0
1081,embaixadores,1,0.0
1082,elvirabrandao,2,0.0
1083,eluneonline,3,0.0
1084,elos,1,0.0
1085,elolacerdaf,1,0.0
1086,educar,2,0.0
1087,educandusilha,2,0.0
1088,escolaaconchego,1,0.0
1089,duquecastilho,12,0.0
1090,ebei,2,0.0
1091,ebcj,2,0.0
1092,easi,1,0.0
1093,earcadenoe,1,0.0
1094,eag,3,0.0
1095,eadcmm,2,0.0
1096,eacr,1,0.0
1097,eacorcovado,110,0.0
1098,duque,4,0.0
1099,educandarioterciocorreia,12,0.0
1100,dorothea,4,0.0
1101,domolinda,1,0.0
1102,dommga,2,0.0
1103,dominius,48,0.0
1104,domhelder,4,0.0
1105,domboscoos,1,0.0
1106,domboscojgva,1,0.0
1107,domboscogru,1,0.0
1108,eblighthouse,1,0.0
1109,ecaminhodosanjos,1,0.0
1110,eccos,45,0.0
1111,ecml,3,0.0
1112,educandarionospassosdejesus,1,0.0
1113,educandarioetgcc,1,0.0
1114,educandariodosaber,8,0.0
1115,educandariodegrausdasabedoria,1,0.0
1116,educandario,3,0.0
1117,educamob,7,0.0
1118,educamais,1,0.0
1119,educadariomaria,1,0.0
1120,educacionalsemear,2,0.0
1121,educacional,36,0.0
1122,educacaoinfantilsemear,11,0.0
1123,educacaocarpediem,2,0.0
1124,editoralt,2,0.0
1125,edithdossantosrj,1,0.0
1126,edificandogeracoes,2,0.0
1127,edhumbertodecampos,15,0.0
1128,ecportoseguro,1,0.0
1129,escola,1,0.0
1130,escolaagnusdei,1,0.0
1131,colegiolebiste,1,0.0
1132,escolamundai,3,0.0
1133,escolapppp,1,0.0
1134,escolaporprincipios,3,0.0
1135,escolapequenospassos,1,0.0
1136,escolaparticularmaxime,1,0.0
1137,escolaomega,1,0.0
1138,escolaolavonunes,1,0.0
1139,escolanovadinamica,1,0.0
1140,escolamundo,1,0.0
1141,escolamaster,26,0.0
1142,escolainewton,1,0.0
1143,escolaluterana,1,0.0
1144,escolakodomo,1,0.0
1145,escolakadima,1,0.0
1146,escolajosearaujobezerra,18,0.0
1147,escolajoaocalvino,1,0.0
1148,escolajesusbompastor,1,0.0
1149,escolajardimdasnacoes,2,0.0
1150,escolainternacional,2,0.0
1151,escolapresb,2,0.0
1152,escolapresbiterianadecanal,32,0.0
1153,escolapresblp,1,0.0
1154,escolaraulpilla,2,0.0
1155,espacolivre,2,0.0
1156,espacoeducar,11,0.0
1157,esmg,1,0.0
1158,esm,1,0.0
1159,abaweb,1,0.0
1160,escolinhadoiuri,1,0.0
1161,escolinhacaca,6,0.0
1162,escolaviva,1,0.0
1163,escolavitoriaregia,16,0.0
1164,escolavida,13,0.0
1165,escolasplugadas,51,0.0
1166,escolasoito,4,0.0
1167,escolasementesdoamanha,2,0.0
1168,escolasemear,1,0.0
1169,escolasapiencia,3,0.0
1170,escolasanti,3,0.0
1171,escolasantaclara,4,0.0
1172,escolainterativa,1,0.0
1173,escolaimpacto,20,0.0
1174,escolaalpha,16,0.0
1175,escolaceciliameireles,12,0.0
1176,escolacristacandeias,7,0.0
1177,escolacristaboaviagem,10,0.0
1178,escolacristaba,2,0.0
1179,escolacrescimento,2,0.0
1180,escolaclgo,3,0.0
1181,escolaceuazul,3,0.0
1182,escolacemepe,2,0.0
1183,escolaceda,1,0.0
1184,escolacasulo,1,0.0
1185,escolaidaam,2,0.0
1186,escolacastelokids,3,0.0
1187,escolacastanheiras,9,0.0
1188,escolaborghesi,1,0.0
1189,escolabetuel,1,0.0
1190,escolabemmequer,3,0.0
1191,escolabedelandia,4,0.0
1192,escolaarrudacamara,1,0.0
1193,escolaarcasp,1,0.0
1194,escolacristaemaldeia,7,0.0
1195,escolacristaempiedade,7,0.0
1196,escolacristal,1,0.0
1197,escolacristanavarzea,10,0.0
1198,escolahwallon,1,0.0
1199,escolageorgina,2,0.0
1200,escolafrozi,1,0.0
1201,escolaevangelicabetel,1,0.0
1202,escolaesfera,1,0.0
1203,escolaeducativa,2,0.0
1204,escolaeboasnovas,2,0.0
1205,escoladrgadelha,1,0.0
1206,escoladomingossavio,27,0.0
1207,escoladomestica,1,0.0
1208,escoladofuturo,2,0.0
1209,escoladenisecarvalho,1,0.0
1210,escoladeimpacto,1,0.0
1211,escoladavila,2,0.0
1212,escoladanielberg,1,0.0
1213,escoladalivia,2,0.0
1214,escolacristasumare,2,0.0
1215,dombosco,23,0.0
1216,dokimos,60,0.0
1217,dojo,1,0.0
1218,colegioradar,4,0.0
1219,colegiosantamaria,3,0.0
1220,colegiosantadoroteia,1,0.0
1221,colegiosalesianorn,1,0.0
1222,colegiosagradafamilia,13,0.0
1223,colegiosaberviver,2,0.0
1224,colegioriobranco,3,0.0
1225,colegiorgf,3,0.0
1226,colegioraiodesol,21,0.0
1227,colegiopurissimo,39,0.0
1228,colegiopolivalente,1,0.0
1229,colegiopromundo,2,0.0
1230,colegioprogresso,2,0.0
1231,colegioprimeiromundo,1,0.0
1232,colegioprevejau,2,0.0
1233,colegiopresbiterianosimonton,2,0.0
1234,colegiopresbiterianobras,2,0.0
1235,colegiopremiumgentil,28,0.0
1236,colegiopremium,48,0.0
1237,colegiosantamariaminas,9,0.0
1238,colegiosantanna,5,0.0
1239,colegiosantoscarneiro,1,0.0
1240,colegiosaojudas,2,0.0
1241,colegioup,47,0.0
1242,colegiouniverso,83,0.0
1243,colegiouniversitario,17,0.0
1244,colegiounidadejardim,20,0.0
1245,colegiouirapuru,72,0.0
1246,colegiotelesmourabrasil,4,0.0
1247,colegiotelescastelao,5,0.0
1248,colegiosuzart,3,0.0
1249,colegiosussurana,3,0.0
1250,colegiosp,1,0.0
1251,colegiosoledade,1,0.0
1252,colegiosm,1,0.0
1253,colegiosiglan,2,0.0
1254,colegioshalom,2,0.0
1255,colegiosete,42,0.0
1256,colegioser,6,0.0
1257,colegiosaoluis,2,0.0
1258,colegioportoseguro,1,0.0
1259,colegioplanck,30,0.0
1260,djanirapereira,3,0.0
1261,colegiomarcondes,2,0.0
1262,colegiomodelo,5,0.0
1263,colegiometropolitan,3,0.0
1264,colegiometropole,1,0.0
1265,colegiomastersp,4,0.0
1266,colegiomartinus,2,0.0
1267,colegiomaristaroque,1,0.0
1268,colegiomarilia,65,0.0
1269,colegiomariahelena,8,0.0
1270,colegiomanoellobo,3,0.0
1271,colegiopitagoraspe,21,0.0
1272,colegiomagnum,136,0.0
1273,colegiolumiar,1,0.0
1274,colegiolouveira,1,0.0
1275,colegiolobato,2,0.0
1276,colegioliceujardim,30,0.0
1277,colegioliceu,23,0.0
1278,colegiolemeitapeva,1,0.0
1279,colegiolegado,2,0.0
1280,colegiomonjolo,3,0.0
1281,colegiomontesclaros,2,0.0
1282,colegiomotiva,2,0.0
1283,colegiomundoideal,1,0.0
1284,colegiopitagoras,1,0.0
1285,colegiopel,2,0.0
1286,colegiopatriciacosta,1,0.0
1287,colegiopassionista,5,0.0
1288,colegiopadremororo,2,0.0
1289,colegiopadreeustaquio,1,0.0
1290,colegiootacilio,10,0.0
1291,colegiooficina,1,0.0
1292,colegioodysseus,2,0.0
1293,colegioocteto,1,0.0
1294,colegiooctagon,2,0.0
1295,colegioobjetivosorocaba,1,0.0
1296,colegionovopatio,12,0.0
1297,colegionovageracao,27,0.0
1298,colegionobre,2,0.0
1299,colegionivardomoura,1,0.0
1300,colegion1,1,0.0
1301,colegioveratz,1,0.0
1302,colegiovitoria,9,0.0
1303,colegiovitoriaregia,1,0.0
1304,ctbmsa,17,0.0
1305,cursoequacao,5,0.0
1306,cursoenfase,40,0.0
1307,cursoclaudiomuniz,1,0.0
1308,cursobase,7,0.0
1309,cursoacre,4,0.0
1310,cursinhoeach,1,0.0
1311,culturainglesa,4,0.0
1312,ctem,26,0.0
1313,csvp,3,0.0
1314,colegiovitorino,1,0.0
1315,cssg,3,0.0
1316,csdb,4,0.0
1317,cscatarina,1,0.0
1318,csasp,8,0.0
1319,csaci,4,0.0
1320,csa,1,0.0
1321,cs,2,0.0
1322,cruzeiro,2,0.0
1323,cursoforca,2,0.0
1324,cursoisfera,14,0.0
1325,cursoleopoldo,1,0.0
1326,cursologhus,1,0.0
1327,divinomestre,2,0.0
1328,dionysia,7,0.0
1329,dialeticacursos,16,0.0
1330,diagnosticoamais,1,0.0
1331,dhrczs,3,0.0
1332,devry,2,0.0
1333,descomplica,2,0.0
1334,demosesi,2,0.0
1335,demo,1,0.0
1336,deltaeducacional,24,0.0
1337,decisao,4,0.0
1338,dbosco,2,0.0
1339,darwin,122,0.0
1340,dantealighieri,9,0.0
1341,dante,8,0.0
1342,cursosazambuja,24,0.0
1343,cursoprogressao,110,0.0
1344,cristorei,1,0.0
1345,cristaodapenha,5,0.0
1346,cristaoantenorthomazi,2,0.0
1347,consepe,3,0.0
1348,conib,1,0.0
1349,conhecereducacional,30,0.0
1350,confessionalmonza,2,0.0
1351,conexaosaber,32,0.0
1352,conexao,4,0.0
1353,concordia,1,0.0
1354,complexoemodelo,1,0.0
1355,compa,1,0.0
1356,comeniusuberaba,1,0.0
1357,comenius,1,0.0
1358,colsantamaria,2,0.0
1359,colsagradafamila,1,0.0
1360,colsaberviver,2,0.0
1361,colprogressao,36,0.0
1362,colmetodista,1,0.0
1363,coleguium,3,0.0
1364,colegiovivopiracicaba,1,0.0
1365,conradochaves,13,0.0
1366,contemporaneo,50,0.0
1367,cristadecuritiba,1,0.0
1368,contemporaneocidadeverde,74,0.0
1369,criativaedinamica,1,0.0
1370,criancaesperanca,10,0.0
1371,crescercampinas,33,0.0
1372,crechedapaz,1,0.0
1373,crecei,4,0.0
1374,crb,1,0.0
1375,cpdacdigital,1,0.0
1376,cpchamberlain,1,0.0
1377,cpcentenario,2,0.0
1378,cparaiso,2,0.0
1379,cotemig,42,0.0
1380,coracaodejesus,4,0.0
1381,coracao,4,0.0
1382,coopermundi,4,0.0
1383,contratos2021,1,0.0
1384,conteudos,1,0.0
1385,contemporaneolagoanova,78,0.0
1386,zuleideconstantino,1,0.0
