,namespace,Unnamed: 0,Porcentagem de professores que visualizaram relatórios de AD
108,objetivohortolandia,20,0.0
109,objetivocentro,16,0.0
110,objetivoamericana,76,0.0
111,nucleocriativo,17,0.0
112,nucleo,3,0.0
113,nsgloria,1,0.0
114,nsdasneves,1,0.0
115,mendesrios,1,0.0
116,nsdasgracas,1,0.0
117,nsconceicao,3,0.0
118,novotempo,78,0.0
119,novavisao,1,0.0
120,novaepoca,15,0.0
121,novadimensao,5,0.0
122,novaalianca,2,0.0
123,notredame,2,0.0
124,objetivomairinque,7,0.0
125,objetivoportal,1,0.0
126,objetivoraiodesol,1,0.0
127,objetivoteresina,2,0.0
128,overnascimentodecastro,20,0.0
129,overmossoro,40,0.0
130,overmarciliofurtado,53,0.0
131,overlimaesilva,21,0.0
132,overjoaopessoa,31,0.0
133,overabelcabral,73,0.0
134,ouse,4,0.0
135,oswalddeandrade,3,0.0
136,oswald,26,0.0
137,olivierfurtado,1,0.0
138,oliveiranetto,4,0.0
139,olavonunes,1,0.0
140,oficinadoestudante,156,0.0
141,odariconascimento,3,0.0
142,obrasilparacristo,3,0.0
143,objetivozonanorte,1,0.0
144,objetivovgp,1,0.0
145,nossasenhoradesion,2,0.0
146,nihongogakkou,1,0.0
147,nesfa,3,0.0
148,montedasoliveiras,2,0.0
149,monsenhorfrancisco,7,0.0
150,mojuca,3,0.0
151,mocinhagomes,3,0.0
152,mobile,1,0.0
153,moaciralves,15,0.0
154,mls,3,0.0
155,ministrodafazenda,1,0.0
156,minhalista,1205,0.0
157,milenamadeira,1,0.0
158,migueldecervantes,3,0.0
159,mfecursos,1,0.0
160,juntos,5,0.0
161,metodocerto,17,0.0
162,metodistadosul,2,0.0
163,meta,8,0.0
164,mestre,2,0.0
165,mentoring,6,0.0
166,monsenhorgoncalo,46,0.0
167,montenegrofilho,1,0.0
168,neppraiadacosta,1,0.0
169,moppe,47,0.0
170,nepitaparica,1,0.0
171,nepesitaparica,2,0.0
172,nep,4,0.0
173,neila,1,0.0
174,necicem,2,0.0
175,near,3,0.0
176,navegasas,1,0.0
177,naia,6,0.0
178,murilorocha,29,0.0
179,mundoencantado,2,0.0
180,mundodeplatao,3,0.0
181,mundoarteceb,1,0.0
182,mundialfranciscobeltrao,4,0.0
183,msetemporario,7,0.0
184,motivacao,3,0.0
185,motiva,8,0.0
186,moria,3,0.0
187,katirodrigues,1,0.0
188,josemariano,2,0.0
189,juarezwanderley,30,0.0
190,gegsjcampos,67,0.0
191,ginasioanchieta,4,0.0
192,geraldob,1,0.0
193,geracaocolegioecurso,5,0.0
194,geracao2001,1,0.0
195,gerabixo,58,0.0
196,georgestein,1,0.0
197,genesislife,1,0.0
198,geneduc,4,0.0
199,gaylussac,2,0.0
200,goncalomartins,8,0.0
201,garra,55,0.0
202,gamt,5,0.0
203,galois,2,0.0
204,gaga,2,0.0
205,gacc,26,0.0
206,fundacaobradesco,2,0.0
207,ftec,52,0.0
208,ftd,13,0.0
209,giramundo,3,0.0
210,grandepasso,3,0.0
211,jpn,1,0.0
212,herciliovilanova,1,0.0
213,iecm,3,0.0
214,idealbsb,1,0.0
215,idb,14,0.0
216,idaam,101,0.0
217,iceducacao,1,0.0
218,ias,1,0.0
219,iabcd,10,0.0
220,humus,2,0.0
221,hamiltondarocha,18,0.0
222,gremioescolarserrano,1,0.0
223,hackiandoaeduc,1,0.0
224,habillis,2,0.0
225,habilisescolaecurso,9,0.0
226,gustavo,1,0.0
227,guroo,1,0.0
228,guilhermefilho,19,0.0
229,gualberto,2,0.0
230,guairaca,3,0.0
231,francobrasileiro,26,0.0
232,franciscopinto,3,0.0
