,namespace,Porcentagem de exercícios de AAs em relatórios de AD,Média de exercícios em relatórios de AD por turma,Nº de AAs aplicadas da estante,Porcentagem de AAs com classificação de habilidades iniciada,Porcentagem de AAs com classificação de habilidades finalizada,Porcentagem de AAs com classificação de habilidades finalizada (ao menos foi iniciada),Porcentagem de visualização dos relatórios de AD por alunos,Porcentagem de professores que visualizaram relatórios de AD,Porcentagem de administradores que visualizaram relatórios de AD
113,escolamaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,acessoboqueirao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0588235294117647
115,colegiobatistaindependente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,cem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,ceprimeiromundo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009,0.0
118,charlesdarwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,ciadosaber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,cmdpii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,cnslpb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,cognitivo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,colegioalphaunis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
124,colegioanchietai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,colegioanchietaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,colegioarena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
127,colegiobetelbrasileirosp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,cecbdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,colegiobianguloiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,colegiobilac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
131,colegiobrasilia,0.0,0.0,0.0,0.05078125,0.0,0.0,0.0,0.0169491525423728,0.0285714285714285
132,colegiocb,0.0,0.0,0.0,0.0309278350515463,0.0,0.0,0.7327586206896551,0.1153846153846153,0.5
133,colegiocognos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,colegiodasamericas,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0
135,colegiodompedrosegundo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,colegioeag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,colegioecursodesafio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158730158730158,0.0
138,colegioecursoprogressao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,colegioeducallis,0.0,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0
140,ceespacolivre,0.0,0.0,0.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.1666666666666666
141,ceabb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
142,escoladeimpacto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,amaisteste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,acessocampolargo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333
145,acessocampolargokids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,acessofazendariogrande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054054054054054,0.0333333333333333
147,acessohauer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,acessopinhais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
149,acessosantafelicidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088235294117647
150,acessosjpinhais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,adrianochan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,alfacembilingue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,amadeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,amais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,anchietaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,cbpdigital,0.0,0.0,0.0,0.027027027027027,0.0,0.0,0.0,0.0,0.0
157,apogeustoantonio2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,aprovest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,arlindocavalcanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,beityaacov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666
161,bertelsmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,brasilcursinhos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,camerinocursos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,casdinhosjc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333
165,casdvest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
166,castelobruxo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,cats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,colegioensitec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,colegioflamingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428
170,colegiofuturageracao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,dommga,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,1.0
172,crb,0.0,0.0,0.0,0.0068027210884353,0.0,0.0,0.0,0.0,0.0135593220338983
173,crescercampinas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,cursinhoeach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,cursobase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,cursoenfase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,cursoisfera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,cursoleopoldo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,cursoprogressao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,cursosazambuja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,dante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,deltaeducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,domus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,colegioglobal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
185,eacorcovado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,eccos,0.0,0.0,0.0,0.0769230769230769,0.0256410256410256,0.3333333333333333,0.0,0.0,0.0909090909090909
187,educamais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,educandarioterciocorreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,educarse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0
190,eduqo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,einsteinassis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,elitecuritibaemilianoperneta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454
193,eluneonline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,escola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,escolaceciliameireles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,cparaiso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,contemporaneolagoanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384
198,contemporaneocidadeverde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666
199,contemporaneo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,colegioguilhermedealmeida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,colegioiguatemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,colegiointegral,0.0,0.0,0.0,0.0188679245283018,0.0,0.0,0.0,0.0,0.0
203,colegiojoaopaulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138888888888888,0.0
204,colegioliceu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,colegiomagnum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,colegiomodelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,colegiomundial,0.0,0.0,0.0,0.0,0.0,0.0,0.0015360983102918,0.0,0.2222222222222222
208,colegionobre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,colegionovageracao,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2
210,colegionovopatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,colegioplanck,0.0,0.0,0.0,0.0131578947368421,0.0,0.0,0.2327044025157232,0.0,0.0625
212,colegiopremium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,colegioprogresso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,colegioradar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,colegioriobranco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,colegiosantamaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,colegioser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,colegiosete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454
219,colegiouirapuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,colegiouniverso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,colegioup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,conexaosaber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,wilsondeandradebarreto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,laboratoriosromildo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,jardimsaopaulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0165289256198347,0.1818181818181818,0.6666666666666666
226,ismart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333
227,alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133333333333333,0.0476190476190476
228,mariaantonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,magnumagostiniano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,manoelbatista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,magnum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,manoelbernardino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,manoelfrancisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,maper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,manoelmarcelino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,marcelochumer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,manoelqueiroz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,aba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,mariaaugusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,marqueslima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,maxeducacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,matriz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,materdei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,matematica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,mastersul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,mastersolucoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,mastersaoluis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,maristateresina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,mariacarmo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,maristadomsilverio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,mariaolinda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,marianair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,mariamerces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,marialeao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,magno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,mariaeunice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,marialaura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,mackenziesaopaulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,magma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,lasallesp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,liderasas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,liceujardim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,lgp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,lerote,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,lepetitsp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,leonor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,lealecarvalho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,lauramatos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,lasalledores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,magistral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,lasalle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,lapiseartes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,lab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,kuadro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,kidsbaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,katrodrigues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,liessin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,liessinbarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,lighthouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,limanogueira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,maededeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,mackenzietambore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,medcel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,mackenziebrasilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,macbrasiliaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,maanaim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,luminaedu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,lumiere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,lumen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,luizgonzaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
